onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 2.069	ITI	0	0	 0.000
 2.069	 0.557	betty	0	0	 0.000
 2.626	 1.512	answer	2	2	 1.488
 4.138	 7.958	ITI	0	0	 0.000
 12.096	 0.478	betty	0	0	 0.000
 12.574	 1.353	answer	2	2	 1.338
 13.927	 7.720	ITI	0	0	 0.000
 21.647	 0.477	anne	0	0	 0.000
 22.124	 5.173	answer	1	0	 0.001
 27.297	 3.343	ITI	0	0	 0.000
 30.640	 0.796	anne	0	0	 0.000
 31.436	 5.173	answer	1	0	 0.000
 36.609	 3.024	ITI	0	0	 0.000
 39.633	 0.558	chloe	0	0	 0.000
 40.191	 2.307	answer	3	3	 2.235
 42.498	 6.606	ITI	0	0	 0.000
 49.104	 0.876	chloe	0	0	 0.000
 49.980	 1.194	answer	3	3	 1.156
 51.174	 10.027	ITI	0	0	 0.000
 61.201	 0.716	betty	0	0	 0.000
 61.917	 1.274	answer	2	2	 1.249
 63.191	 8.118	ITI	0	0	 0.000
 71.309	 0.478	chloe	0	0	 0.000
 71.787	 1.273	answer	3	3	 1.269
 73.060	 7.162	ITI	0	0	 0.000
 80.222	 0.716	anne	0	0	 0.000
 80.938	 0.478	answer	1	1	 0.438
 81.416	 7.880	ITI	0	0	 0.000
 89.296	 0.716	anne	0	0	 0.000
 90.012	 5.173	answer	1	0	 0.000
 95.185	 3.422	ITI	0	0	 0.000
 98.607	 0.477	betty	0	0	 0.000
 99.084	 1.114	answer	2	2	 1.106
 100.198	 7.561	ITI	0	0	 0.000
 107.759	 0.558	betty	0	0	 0.000
 108.317	 5.172	answer	2	0	 0.000
 113.489	 4.696	ITI	0	0	 0.000
 118.185	 0.636	chloe	0	0	 0.000
 118.821	 1.354	answer	3	3	 1.335
 120.175	 9.152	ITI	0	0	 0.000
 129.327	 0.796	chloe	0	0	 0.000
 130.123	 2.706	answer	3	3	 2.663
 132.829	 6.526	ITI	0	0	 0.000
 139.355	 0.558	anne	0	0	 0.000
 139.913	 5.172	answer	1	0	 0.000
 145.085	 3.661	ITI	0	0	 0.000
 148.746	 0.716	anne	0	0	 0.000
 149.462	 1.910	answer	1	3	 1.852
 151.372	 7.164	ITI	0	0	 0.000
 158.536	 0.716	betty	0	0	 0.000
 159.252	 2.308	answer	2	2	 2.276
 161.560	 5.968	ITI	0	0	 0.000
 167.528	 0.398	betty	0	0	 0.000
 167.926	 1.831	answer	2	2	 1.810
 169.757	 6.845	ITI	0	0	 0.000
 176.602	 0.636	chloe	0	0	 0.000
 177.238	 2.070	answer	3	3	 2.038
 179.308	 6.684	ITI	0	0	 0.000
 185.992	 0.478	anne	0	0	 0.000
 186.470	 1.194	answer	1	1	 1.140
 187.664	 8.516	ITI	0	0	 0.000
 196.180	 0.875	chloe	0	0	 0.000
 197.055	 1.672	answer	3	3	 1.639
 198.727	 6.525	ITI	0	0	 0.000
 205.252	 0.796	anne	0	0	 0.000
 206.048	 0.637	answer	1	1	 0.584
 206.685	 8.596	ITI	0	0	 0.000
 215.281	 0.636	betty	0	0	 0.000
 215.917	 1.592	answer	2	3	 1.577
 217.509	 6.685	ITI	0	0	 0.000
 224.194	 0.637	betty	0	0	 0.000
 224.831	 0.876	answer	2	2	 0.863
 225.707	 8.117	ITI	0	0	 0.000
 233.824	 0.796	chloe	0	0	 0.000
 234.620	 2.308	answer	3	3	 2.306
 236.928	 6.129	ITI	0	0	 0.000
 243.057	 0.716	anne	0	0	 0.000
 243.773	 1.671	answer	1	1	 1.657
 245.444	 6.844	ITI	0	0	 0.000
 252.288	 0.557	anne	0	0	 0.000
 252.845	 1.353	answer	1	3	 1.283
 254.198	 7.084	ITI	0	0	 0.000
 261.282	 0.398	betty	0	0	 0.000
 261.680	 0.955	answer	2	2	 0.916
 262.635	 9.072	ITI	0	0	 0.000
 271.707	 0.875	chloe	0	0	 0.000
 272.582	 1.194	answer	3	1	 1.158
 273.776	 6.049	ITI	0	0	 0.000
 279.825	 0.796	chloe	0	0	 0.000
 280.621	 1.433	answer	3	3	 1.385
 282.054	 7.878	ITI	0	0	 0.000
 289.932	 0.478	betty	0	0	 0.000
 290.410	 1.114	answer	2	2	 1.058
 291.524	 7.402	ITI	0	0	 0.000
 298.926	 0.716	anne	0	0	 0.000
 299.642	 0.398	answer	1	1	 0.386
 300.040	 8.993	ITI	0	0	 0.000
 309.033	 0.477	chloe	0	0	 0.000
 309.510	 2.946	answer	3	3	 2.916
 312.456	 6.207	ITI	0	0	 0.000
 318.663	 0.557	anne	0	0	 0.000
 319.220	 0.876	answer	1	1	 0.812
 320.096	 7.878	ITI	0	0	 0.000
 327.974	 0.876	chloe	0	0	 0.000
 328.850	 1.274	answer	3	2	 1.196
 330.124	 6.924	ITI	0	0	 0.000
 337.048	 0.557	betty	0	0	 0.000
 337.605	 1.671	answer	2	2	 1.653
 339.276	 5.332	ITI	0	0	 0.000
 344.608	 4.138	END	0	0	 0.000
