onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 2.069	ITI	0	0	 0.000
 2.069	 0.557	betty	0	0	 0.000
 2.626	 0.795	answer	2	2	 0.743
 3.421	 8.675	ITI	0	0	 0.000
 12.096	 0.477	betty	0	0	 0.000
 12.573	 2.389	answer	2	3	 2.348
 14.962	 6.685	ITI	0	0	 0.000
 21.647	 0.477	anne	0	0	 0.000
 22.124	 0.319	answer	1	1	 0.313
 22.443	 8.196	ITI	0	0	 0.000
 30.639	 0.797	anne	0	0	 0.000
 31.436	 0.478	answer	1	1	 0.415
 31.914	 7.719	ITI	0	0	 0.000
 39.633	 0.557	chloe	0	0	 0.000
 40.190	 1.274	answer	3	1	 1.199
 41.464	 7.640	ITI	0	0	 0.000
 49.104	 0.876	chloe	0	0	 0.000
 49.980	 0.636	answer	3	3	 0.565
 50.616	 10.585	ITI	0	0	 0.000
 61.201	 0.716	betty	0	0	 0.000
 61.917	 2.547	answer	2	2	 2.492
 64.464	 6.845	ITI	0	0	 0.000
 71.309	 0.477	chloe	0	0	 0.000
 71.786	 0.955	answer	3	3	 0.911
 72.741	 7.481	ITI	0	0	 0.000
 80.222	 0.716	anne	0	0	 0.000
 80.938	 2.069	answer	1	1	 2.017
 83.007	 6.288	ITI	0	0	 0.000
 89.295	 0.716	anne	0	0	 0.000
 90.011	 0.717	answer	1	1	 0.638
 90.728	 7.878	ITI	0	0	 0.000
 98.606	 0.478	betty	0	0	 0.000
 99.084	 0.796	answer	2	2	 0.761
 99.880	 7.879	ITI	0	0	 0.000
 107.759	 0.557	betty	0	0	 0.000
 108.316	 2.626	answer	2	2	 2.575
 110.942	 7.242	ITI	0	0	 0.000
 118.184	 0.638	chloe	0	0	 0.000
 118.822	 1.194	answer	3	3	 1.171
 120.016	 9.311	ITI	0	0	 0.000
 129.327	 0.796	chloe	0	0	 0.000
 130.123	 5.173	answer	3	0	 0.000
 135.296	 4.059	ITI	0	0	 0.000
 139.355	 0.557	anne	0	0	 0.000
 139.912	 0.398	answer	1	1	 0.363
 140.310	 8.436	ITI	0	0	 0.000
 148.746	 0.716	anne	0	0	 0.000
 149.462	 0.398	answer	1	1	 0.355
 149.860	 8.675	ITI	0	0	 0.000
 158.535	 0.717	betty	0	0	 0.000
 159.252	 1.193	answer	2	2	 1.125
 160.445	 7.083	ITI	0	0	 0.000
 167.528	 0.398	betty	0	0	 0.000
 167.926	 0.796	answer	2	2	 0.719
 168.722	 7.879	ITI	0	0	 0.000
 176.601	 0.637	chloe	0	0	 0.000
 177.238	 0.478	answer	3	3	 0.457
 177.716	 8.276	ITI	0	0	 0.000
 185.992	 0.478	anne	0	0	 0.000
 186.470	 0.477	answer	1	1	 0.433
 186.947	 9.233	ITI	0	0	 0.000
 196.180	 0.875	chloe	0	0	 0.000
 197.055	 5.173	answer	3	0	 0.000
 202.228	 3.024	ITI	0	0	 0.000
 205.252	 0.797	anne	0	0	 0.000
 206.049	 0.557	answer	1	1	 0.506
 206.606	 8.674	ITI	0	0	 0.000
 215.280	 0.637	betty	0	0	 0.000
 215.917	 1.830	answer	2	2	 1.808
 217.747	 6.447	ITI	0	0	 0.000
 224.194	 0.637	betty	0	0	 0.000
 224.831	 0.637	answer	2	2	 0.628
 225.468	 8.356	ITI	0	0	 0.000
 233.824	 0.796	chloe	0	0	 0.000
 234.620	 5.172	answer	3	0	 0.000
 239.792	 3.264	ITI	0	0	 0.000
 243.056	 0.717	anne	0	0	 0.000
 243.773	 0.795	answer	1	1	 0.766
 244.568	 7.720	ITI	0	0	 0.000
 252.288	 0.557	anne	0	0	 0.000
 252.845	 5.173	answer	1	0	 0.000
 258.018	 3.264	ITI	0	0	 0.000
 261.282	 0.397	betty	0	0	 0.000
 261.679	 0.796	answer	2	2	 0.738
 262.475	 9.232	ITI	0	0	 0.000
 271.707	 0.875	chloe	0	0	 0.000
 272.582	 1.114	answer	3	3	 1.093
 273.696	 6.129	ITI	0	0	 0.000
 279.825	 0.796	chloe	0	0	 0.000
 280.621	 1.034	answer	3	3	 1.024
 281.655	 8.277	ITI	0	0	 0.000
 289.932	 0.477	betty	0	0	 0.000
 290.409	 1.115	answer	2	2	 1.064
 291.524	 7.402	ITI	0	0	 0.000
 298.926	 0.716	anne	0	0	 0.000
 299.642	 0.637	answer	1	1	 0.625
 300.279	 8.754	ITI	0	0	 0.000
 309.033	 0.477	chloe	0	0	 0.000
 309.510	 2.946	answer	3	2	 2.939
 312.456	 6.207	ITI	0	0	 0.000
 318.663	 0.557	anne	0	0	 0.000
 319.220	 0.398	answer	1	1	 0.335
 319.618	 8.356	ITI	0	0	 0.000
 327.974	 0.877	chloe	0	0	 0.000
 328.851	 1.432	answer	3	2	 1.396
 330.283	 6.764	ITI	0	0	 0.000
 337.047	 0.558	betty	0	0	 0.000
 337.605	 0.795	answer	2	2	 0.718
 338.400	 6.208	ITI	0	0	 0.000
 344.608	 4.138	END	0	0	 0.000
