onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 2.069	ITI	0	0	 0.000
 2.069	 0.716	betty	0	0	 0.000
 2.785	 1.194	answer	2	3	 1.158
 3.979	 7.560	ITI	0	0	 0.000
 11.539	 0.716	anne	0	0	 0.000
 12.255	 0.239	answer	1	1	 0.190
 12.494	 8.198	ITI	0	0	 0.000
 20.692	 0.477	betty	0	0	 0.000
 21.169	 0.478	answer	2	2	 0.460
 21.647	 7.958	ITI	0	0	 0.000
 29.605	 0.478	chloe	0	0	 0.000
 30.083	 1.034	answer	3	2	 1.016
 31.117	 7.721	ITI	0	0	 0.000
 38.838	 0.795	anne	0	0	 0.000
 39.633	 0.398	answer	1	1	 0.358
 40.031	 8.595	ITI	0	0	 0.000
 48.626	 0.716	betty	0	0	 0.000
 49.342	 1.354	answer	2	2	 1.293
 50.696	 8.118	ITI	0	0	 0.000
 58.814	 0.875	chloe	0	0	 0.000
 59.689	 0.716	answer	3	2	 0.648
 60.405	 7.800	ITI	0	0	 0.000
 68.205	 0.557	betty	0	0	 0.000
 68.762	 1.035	answer	2	3	 0.993
 69.797	 8.674	ITI	0	0	 0.000
 78.471	 0.716	anne	0	0	 0.000
 79.187	 1.274	answer	1	1	 1.266
 80.461	 6.924	ITI	0	0	 0.000
 87.385	 0.796	chloe	0	0	 0.000
 88.181	 0.955	answer	3	2	 0.884
 89.136	 7.242	ITI	0	0	 0.000
 96.378	 0.716	anne	0	0	 0.000
 97.094	 1.194	answer	1	1	 1.159
 98.288	 7.959	ITI	0	0	 0.000
 106.247	 0.398	betty	0	0	 0.000
 106.645	 0.876	answer	2	3	 0.860
 107.521	 7.719	ITI	0	0	 0.000
 115.240	 0.557	anne	0	0	 0.000
 115.797	 0.716	answer	1	1	 0.706
 116.513	 8.596	ITI	0	0	 0.000
 125.109	 0.557	betty	0	0	 0.000
 125.666	 0.955	answer	2	3	 0.915
 126.621	 9.550	ITI	0	0	 0.000
 136.171	 0.637	chloe	0	0	 0.000
 136.808	 1.115	answer	3	3	 1.075
 137.923	 10.107	ITI	0	0	 0.000
 148.030	 0.477	chloe	0	0	 0.000
 148.507	 1.035	answer	3	2	 0.968
 149.542	 7.482	ITI	0	0	 0.000
 157.024	 0.716	anne	0	0	 0.000
 157.740	 1.114	answer	1	1	 1.087
 158.854	 7.958	ITI	0	0	 0.000
 166.812	 0.478	anne	0	0	 0.000
 167.290	 1.273	answer	1	1	 1.265
 168.563	 7.243	ITI	0	0	 0.000
 175.806	 0.636	chloe	0	0	 0.000
 176.442	 1.513	answer	3	3	 1.501
 177.955	 7.719	ITI	0	0	 0.000
 185.674	 0.637	betty	0	0	 0.000
 186.311	 0.795	answer	2	2	 0.752
 187.106	 7.880	ITI	0	0	 0.000
 194.986	 0.478	anne	0	0	 0.000
 195.464	 1.273	answer	1	1	 1.271
 196.737	 8.117	ITI	0	0	 0.000
 204.854	 0.876	chloe	0	0	 0.000
 205.730	 1.750	answer	3	2	 1.721
 207.480	 7.084	ITI	0	0	 0.000
 214.564	 0.478	betty	0	0	 0.000
 215.042	 0.636	answer	2	3	 0.623
 215.678	 8.595	ITI	0	0	 0.000
 224.273	 0.557	betty	0	0	 0.000
 224.830	 0.877	answer	2	3	 0.809
 225.707	 7.401	ITI	0	0	 0.000
 233.108	 0.796	chloe	0	0	 0.000
 233.904	 0.955	answer	3	3	 0.937
 234.859	 7.241	ITI	0	0	 0.000
 242.100	 0.478	betty	0	0	 0.000
 242.578	 1.513	answer	2	2	 1.471
 244.091	 7.879	ITI	0	0	 0.000
 251.970	 0.557	anne	0	0	 0.000
 252.527	 2.228	answer	1	1	 2.212
 254.755	 6.447	ITI	0	0	 0.000
 261.202	 0.557	chloe	0	0	 0.000
 261.759	 1.433	answer	3	2	 1.382
 263.192	 8.435	ITI	0	0	 0.000
 271.627	 0.637	betty	0	0	 0.000
 272.264	 1.671	answer	2	3	 1.665
 273.935	 8.357	ITI	0	0	 0.000
 282.292	 0.796	chloe	0	0	 0.000
 283.088	 0.796	answer	3	3	 0.779
 283.884	 6.446	ITI	0	0	 0.000
 290.330	 0.557	anne	0	0	 0.000
 290.887	 5.174	answer	1	0	 0.000
 296.061	 3.104	ITI	0	0	 0.000
 299.165	 0.875	chloe	0	0	 0.000
 300.040	 1.273	answer	3	2	 1.259
 301.313	 7.799	ITI	0	0	 0.000
 309.112	 0.398	betty	0	0	 0.000
 309.510	 1.114	answer	2	2	 1.107
 310.624	 7.323	ITI	0	0	 0.000
 317.947	 0.796	anne	0	0	 0.000
 318.743	 0.477	answer	1	1	 0.410
 319.220	 8.436	ITI	0	0	 0.000
 327.656	 0.875	chloe	0	0	 0.000
 328.531	 0.717	answer	3	1	 0.644
 329.248	 7.640	ITI	0	0	 0.000
 336.888	 0.717	anne	0	0	 0.000
 337.605	 0.955	answer	1	1	 0.936
 338.560	 6.048	ITI	0	0	 0.000
 344.608	 4.138	END	0	0	 0.000
