onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 2.069	ITI	0	0	 0.000
 2.069	 0.637	betty	0	0	 0.000
 2.706	 1.751	answer	2	2	 1.680
 4.457	 6.765	ITI	0	0	 0.000
 11.222	 0.398	betty	0	0	 0.000
 11.620	 1.910	answer	2	2	 1.850
 13.530	 7.003	ITI	0	0	 0.000
 20.533	 0.716	anne	0	0	 0.000
 21.249	 1.353	answer	1	1	 1.331
 22.602	 7.164	ITI	0	0	 0.000
 29.766	 0.796	chloe	0	0	 0.000
 30.562	 1.432	answer	3	3	 1.432
 31.994	 7.401	ITI	0	0	 0.000
 39.395	 0.478	betty	0	0	 0.000
 39.873	 1.193	answer	2	2	 1.145
 41.066	 8.119	ITI	0	0	 0.000
 49.185	 0.875	chloe	0	0	 0.000
 50.060	 2.706	answer	3	3	 2.636
 52.766	 5.571	ITI	0	0	 0.000
 58.337	 0.716	anne	0	0	 0.000
 59.053	 2.070	answer	1	1	 2.009
 61.123	 6.685	ITI	0	0	 0.000
 67.808	 0.557	anne	0	0	 0.000
 68.365	 2.387	answer	1	3	 2.347
 70.752	 6.685	ITI	0	0	 0.000
 77.437	 0.558	betty	0	0	 0.000
 77.995	 0.876	answer	2	2	 0.839
 78.871	 7.560	ITI	0	0	 0.000
 86.431	 0.716	anne	0	0	 0.000
 87.147	 0.398	answer	1	1	 0.359
 87.545	 8.118	ITI	0	0	 0.000
 95.663	 0.637	chloe	0	0	 0.000
 96.300	 0.716	answer	3	3	 0.668
 97.016	 9.311	ITI	0	0	 0.000
 106.327	 0.478	betty	0	0	 0.000
 106.805	 0.796	answer	2	2	 0.755
 107.601	 7.879	ITI	0	0	 0.000
 115.480	 0.557	anne	0	0	 0.000
 116.037	 0.398	answer	1	1	 0.369
 116.435	 8.038	ITI	0	0	 0.000
 124.473	 0.478	betty	0	0	 0.000
 124.951	 1.512	answer	2	2	 1.463
 126.463	 6.685	ITI	0	0	 0.000
 133.148	 0.876	chloe	0	0	 0.000
 134.024	 1.592	answer	3	3	 1.514
 135.616	 7.401	ITI	0	0	 0.000
 143.017	 0.795	anne	0	0	 0.000
 143.812	 1.353	answer	1	1	 1.348
 145.165	 9.869	ITI	0	0	 0.000
 155.034	 0.796	chloe	0	0	 0.000
 155.830	 2.388	answer	3	2	 2.326
 158.218	 7.004	ITI	0	0	 0.000
 165.222	 0.557	anne	0	0	 0.000
 165.779	 0.557	answer	1	1	 0.487
 166.336	 9.152	ITI	0	0	 0.000
 175.488	 0.478	chloe	0	0	 0.000
 175.966	 2.864	answer	3	3	 2.830
 178.830	 6.368	ITI	0	0	 0.000
 185.198	 0.716	betty	0	0	 0.000
 185.914	 1.274	answer	2	2	 1.214
 187.188	 8.594	ITI	0	0	 0.000
 195.782	 0.637	chloe	0	0	 0.000
 196.419	 0.875	answer	3	3	 0.865
 197.294	 7.562	ITI	0	0	 0.000
 204.856	 0.557	betty	0	0	 0.000
 205.413	 0.636	answer	2	2	 0.629
 206.049	 8.754	ITI	0	0	 0.000
 214.803	 0.796	anne	0	0	 0.000
 215.599	 0.319	answer	1	1	 0.241
 215.918	 9.152	ITI	0	0	 0.000
 225.070	 0.637	betty	0	0	 0.000
 225.707	 0.398	answer	2	2	 0.395
 226.105	 7.799	ITI	0	0	 0.000
 233.904	 0.875	chloe	0	0	 0.000
 234.779	 0.320	answer	3	3	 0.247
 235.099	 8.276	ITI	0	0	 0.000
 243.375	 0.478	chloe	0	0	 0.000
 243.853	 1.910	answer	3	2	 1.835
 245.763	 6.845	ITI	0	0	 0.000
 252.608	 0.716	anne	0	0	 0.000
 253.324	 0.477	answer	1	1	 0.428
 253.801	 7.879	ITI	0	0	 0.000
 261.680	 0.716	betty	0	0	 0.000
 262.396	 1.910	answer	2	2	 1.848
 264.306	 7.323	ITI	0	0	 0.000
 271.629	 0.557	betty	0	0	 0.000
 272.186	 1.592	answer	2	2	 1.518
 273.778	 7.480	ITI	0	0	 0.000
 281.258	 0.478	anne	0	0	 0.000
 281.736	 0.716	answer	1	1	 0.696
 282.452	 7.482	ITI	0	0	 0.000
 289.934	 0.795	chloe	0	0	 0.000
 290.729	 1.035	answer	3	3	 0.965
 291.764	 6.207	ITI	0	0	 0.000
 297.971	 0.557	chloe	0	0	 0.000
 298.528	 0.796	answer	3	1	 0.780
 299.324	 9.710	ITI	0	0	 0.000
 309.034	 0.717	anne	0	0	 0.000
 309.751	 0.795	answer	1	1	 0.739
 310.546	 7.481	ITI	0	0	 0.000
 318.027	 0.398	betty	0	0	 0.000
 318.425	 2.308	answer	2	3	 2.229
 320.733	 6.845	ITI	0	0	 0.000
 327.578	 0.875	chloe	0	0	 0.000
 328.453	 0.637	answer	3	1	 0.615
 329.090	 8.038	ITI	0	0	 0.000
 337.128	 0.477	anne	0	0	 0.000
 337.605	 0.478	answer	1	1	 0.445
 338.083	 6.526	ITI	0	0	 0.000
 344.609	 4.138	END	0	0	 0.000
