onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 2.069	ITI	0	0	 0.000
 2.069	 0.557	betty	0	0	 0.000
 2.626	 1.831	answer	2	3	 1.779
 4.457	 7.163	ITI	0	0	 0.000
 11.620	 0.398	betty	0	0	 0.000
 12.018	 0.637	answer	2	2	 0.591
 12.655	 7.560	ITI	0	0	 0.000
 20.215	 0.557	anne	0	0	 0.000
 20.772	 1.671	answer	1	1	 1.605
 22.443	 6.766	ITI	0	0	 0.000
 29.209	 0.875	chloe	0	0	 0.000
 30.084	 0.875	answer	3	3	 0.811
 30.959	 7.799	ITI	0	0	 0.000
 38.758	 0.796	anne	0	0	 0.000
 39.554	 1.592	answer	1	1	 1.575
 41.146	 6.845	ITI	0	0	 0.000
 47.991	 0.875	chloe	0	0	 0.000
 48.866	 0.478	answer	3	3	 0.401
 49.344	 8.117	ITI	0	0	 0.000
 57.461	 0.557	chloe	0	0	 0.000
 58.018	 1.035	answer	3	1	 1.025
 59.053	 7.481	ITI	0	0	 0.000
 66.534	 0.478	betty	0	0	 0.000
 67.012	 1.671	answer	2	3	 1.597
 68.683	 7.720	ITI	0	0	 0.000
 76.403	 0.795	anne	0	0	 0.000
 77.198	 1.514	answer	1	2	 1.449
 78.712	 7.241	ITI	0	0	 0.000
 85.953	 0.478	chloe	0	0	 0.000
 86.431	 1.114	answer	3	3	 1.082
 87.545	 7.958	ITI	0	0	 0.000
 95.503	 0.717	anne	0	0	 0.000
 96.220	 0.717	answer	1	1	 0.683
 96.937	 9.152	ITI	0	0	 0.000
 106.089	 0.477	betty	0	0	 0.000
 106.566	 1.114	answer	2	2	 1.105
 107.680	 8.198	ITI	0	0	 0.000
 115.878	 0.478	anne	0	0	 0.000
 116.356	 1.910	answer	1	1	 1.841
 118.266	 6.764	ITI	0	0	 0.000
 125.030	 0.478	betty	0	0	 0.000
 125.508	 1.193	answer	2	3	 1.151
 126.701	 9.312	ITI	0	0	 0.000
 136.013	 0.796	chloe	0	0	 0.000
 136.809	 1.194	answer	3	3	 1.138
 138.003	 7.560	ITI	0	0	 0.000
 145.563	 0.557	anne	0	0	 0.000
 146.120	 0.557	answer	1	1	 0.551
 146.677	 8.278	ITI	0	0	 0.000
 154.955	 0.636	betty	0	0	 0.000
 155.591	 1.751	answer	2	2	 1.726
 157.342	 9.472	ITI	0	0	 0.000
 166.814	 0.636	chloe	0	0	 0.000
 167.450	 0.478	answer	3	3	 0.451
 167.928	 7.878	ITI	0	0	 0.000
 175.806	 0.557	betty	0	0	 0.000
 176.363	 0.876	answer	2	2	 0.812
 177.239	 8.039	ITI	0	0	 0.000
 185.278	 0.477	chloe	0	0	 0.000
 185.755	 2.626	answer	3	3	 2.616
 188.381	 5.571	ITI	0	0	 0.000
 193.952	 0.557	anne	0	0	 0.000
 194.509	 0.637	answer	1	1	 0.572
 195.146	 8.595	ITI	0	0	 0.000
 203.741	 0.558	betty	0	0	 0.000
 204.299	 0.557	answer	2	2	 0.496
 204.856	 9.152	ITI	0	0	 0.000
 214.008	 0.875	chloe	0	0	 0.000
 214.883	 2.626	answer	3	2	 2.570
 217.509	 5.572	ITI	0	0	 0.000
 223.081	 0.716	anne	0	0	 0.000
 223.797	 0.398	answer	1	1	 0.340
 224.195	 7.879	ITI	0	0	 0.000
 232.074	 0.716	anne	0	0	 0.000
 232.790	 1.353	answer	1	2	 1.309
 234.143	 7.800	ITI	0	0	 0.000
 241.943	 0.796	chloe	0	0	 0.000
 242.739	 1.512	answer	3	2	 1.508
 244.251	 5.729	ITI	0	0	 0.000
 249.980	 0.637	chloe	0	0	 0.000
 250.617	 0.478	answer	3	3	 0.416
 251.095	 8.038	ITI	0	0	 0.000
 259.133	 0.637	betty	0	0	 0.000
 259.770	 5.173	answer	2	0	 0.000
 264.943	 4.854	ITI	0	0	 0.000
 269.797	 0.718	betty	0	0	 0.000
 270.515	 0.716	answer	2	2	 0.668
 271.231	 8.515	ITI	0	0	 0.000
 279.746	 0.796	chloe	0	0	 0.000
 280.542	 0.875	answer	3	3	 0.865
 281.417	 7.641	ITI	0	0	 0.000
 289.058	 0.398	betty	0	0	 0.000
 289.456	 1.035	answer	2	2	 0.987
 290.491	 7.401	ITI	0	0	 0.000
 297.892	 0.716	anne	0	0	 0.000
 298.608	 0.716	answer	1	1	 0.673
 299.324	 8.755	ITI	0	0	 0.000
 308.079	 0.478	anne	0	0	 0.000
 308.557	 0.636	answer	1	1	 0.620
 309.193	 7.640	ITI	0	0	 0.000
 316.833	 0.876	chloe	0	0	 0.000
 317.709	 0.795	answer	3	3	 0.726
 318.504	 8.596	ITI	0	0	 0.000
 327.100	 0.717	betty	0	0	 0.000
 327.817	 0.716	answer	2	2	 0.714
 328.533	 8.356	ITI	0	0	 0.000
 336.889	 0.716	anne	0	0	 0.000
 337.605	 1.671	answer	1	1	 1.600
 339.276	 5.333	ITI	0	0	 0.000
 344.609	 4.138	END	0	0	 0.000
