onset	duration	trial_type	file	expected_answer	answer	reaction_time
0.0	2.069	ITI	Rien	0	0	0.0
2.069	0.4849206349206349	betty	214_voyelle	0	0	0.0
2.553920634920635	0.866079365079365	answer	Rien	-2	2	0.866079365079365
3.42	8.677	ITI	Rien	0	0	0.0
12.097	0.3878458049886621	betty	214_pouvez	0	0	0.0
12.484845804988662	1.3571541950113382	answer	Rien	-2	3	1.3571541950113382
13.842	7.805999999999999	ITI	Rien	0	0	0.0
21.648	0.4126303854875283	anne	182_toussez	0	0	0.0
22.060630385487528	0.907369614512472	answer	Rien	-1	1	0.907369614512472
22.968	7.672999999999998	ITI	Rien	0	0	0.0
30.641	0.7627664399092969	anne	182_mardi	0	0	0.0
31.403766439909294	0.22623356009070478	answer	Rien	-1	1	0.22623356009070478
31.63	8.004000000000001	ITI	Rien	0	0	0.0
39.634	0.464625850340136	chloe	233_penser	0	0	0.0
40.098625850340134	1.5353741496598663	answer	Rien	-3	2	1.5353741496598663
41.634	7.469999999999999	ITI	Rien	0	0	0.0
49.104	0.8311337868480726	chloe	233_francais	0	0	0.0
49.93513378684807	0.774866213151925	answer	Rien	-3	3	0.774866213151925
50.709999999999994	10.492000000000004	ITI	Rien	0	0	0.0
61.202	0.6545351473922902	betty	214_jeudi	0	0	0.0
61.856535147392286	0.5634648526077108	answer	Rien	-2	2	0.5634648526077108
62.419999999999995	8.889000000000003	ITI	Rien	0	0	0.0
71.309	0.4357142857142857	chloe	233_hallo	0	0	0.0
71.74471428571428	0.5072857142857181	answer	Rien	-3	3	0.5072857142857181
72.252	7.971000000000004	ITI	Rien	0	0	0.0
80.223	0.6176643990929706	anne	182_quatre	0	0	0.0
80.84066439909297	0.7713356009070235	answer	Rien	-1	1	0.7713356009070235
81.612	7.683000000000007	ITI	Rien	0	0	0.0
89.295	0.6878231292517006	anne	182_lundi	0	0	0.0
89.9828231292517	0.8431768707483028	answer	Rien	-1	1	0.8431768707483028
90.82600000000001	7.780999999999992	ITI	Rien	0	0	0.0
98.607	0.42	betty	214_partie	0	0	0.0
99.027	0.5949999999999944	answer	Rien	-2	2	0.5949999999999944
99.622	8.138000000000005	ITI	Rien	0	0	0.0
107.76	0.5071655328798186	betty	214_neutre	0	0	0.0
108.26716553287983	0.5608344671201694	answer	Rien	-2	2	0.5608344671201694
108.828	9.357	ITI	Rien	0	0	0.0
118.185	0.5902040816326529	chloe	233_toussez	0	0	0.0
118.77520408163265	0.31879591836734755	answer	Rien	-3	3	0.31879591836734755
119.094	10.234000000000009	ITI	Rien	0	0	0.0
129.328	0.7329705215419501	chloe	233_quatre	0	0	0.0
130.06097052154195	0.6530294784580422	answer	Rien	-3	2	0.6530294784580422
130.714	8.640999999999991	ITI	Rien	0	0	0.0
139.355	0.483061224489796	anne	182_partie	0	0	0.0
139.8380612244898	0.6639387755102204	answer	Rien	-1	2	0.6639387755102204
140.502	8.245000000000005	ITI	Rien	0	0	0.0
148.747	0.6468934240362811	anne	182_voyelle	0	0	0.0
149.3938934240363	0.39410657596369864	answer	Rien	-1	1	0.39410657596369864
149.78799999999998	8.748000000000019	ITI	Rien	0	0	0.0
158.536	0.6852380952380952	betty	214_mardi	0	0	0.0
159.2212380952381	0.704761904761913	answer	Rien	-2	2	0.704761904761913
159.92600000000002	7.60299999999998	ITI	Rien	0	0	0.0
167.529	0.33918367346938777	betty	214_penser	0	0	0.0
167.8681836734694	1.1518163265306083	answer	Rien	-2	2	1.1518163265306083
169.02	7.581999999999994	ITI	Rien	0	0	0.0
176.602	0.5778684807256236	chloe	233_partie	0	0	0.0
177.17986848072562	0.4061315192743721	answer	Rien	-3	3	0.4061315192743721
177.58599999999998	8.40700000000001	ITI	Rien	0	0	0.0
185.993	0.4461678004535147	anne	182_penser	0	0	0.0
186.4391678004535	0.38283219954649395	answer	Rien	-1	1	0.38283219954649395
186.822	9.359000000000009	ITI	Rien	0	0	0.0
196.181	0.7930385487528344	chloe	233_lundi	0	0	0.0
196.97403854875284	1.0039614512471657	answer	Rien	-3	3	1.0039614512471657
197.978	7.274999999999977	ITI	Rien	0	0	0.0
205.253	0.7290702947845805	anne	182_jeudi	0	0	0.0
205.98207029478456	0.7019297052154402	answer	Rien	-1	1	0.7019297052154402
206.684	8.597000000000008	ITI	Rien	0	0	0.0
215.281	0.5675963718820861	betty	214_lundi	0	0	0.0
215.84859637188208	0.8354036281179144	answer	Rien	-2	2	0.8354036281179144
216.684	7.509999999999991	ITI	Rien	0	0	0.0
224.194	0.6146031746031746	betty	214_francais	0	0	0.0
224.80860317460315	0.6653968253968259	answer	Rien	-2	2	0.6653968253968259
225.474	8.350999999999999	ITI	Rien	0	0	0.0
233.825	0.7373015873015873	chloe	233_jeudi	0	0	0.0
234.5623015873016	1.0416984126984334	answer	Rien	-3	2	1.0416984126984334
235.604	7.451999999999998	ITI	Rien	0	0	0.0
243.056	0.6907256235827665	anne	182_neutre	0	0	0.0
243.7467256235828	0.2752743764172181	answer	Rien	-1	1	0.2752743764172181
244.02200000000002	8.266999999999967	ITI	Rien	0	0	0.0
252.289	0.4803174603174603	anne	182_pouvez	0	0	0.0
252.76931746031744	0.7966825396825561	answer	Rien	-1	2	0.7966825396825561
253.566	7.71599999999998	ITI	Rien	0	0	0.0
261.282	0.317687074829932	betty	214_hallo	0	0	0.0
261.5996870748299	0.9043129251700925	answer	Rien	-2	3	0.9043129251700925
262.50399999999996	9.204000000000065	ITI	Rien	0	0	0.0
271.708	0.7879138321995465	chloe	233_neutre	0	0	0.0
272.49591383219956	0.5600861678004535	answer	Rien	-3	3	0.5600861678004535
273.05600000000004	6.768999999999949	ITI	Rien	0	0	0.0
279.825	0.7115419501133787	chloe	233_voyelle	0	0	0.0
280.53654195011336	0.6514580498866135	answer	Rien	-3	3	0.6514580498866135
281.188	8.745000000000005	ITI	Rien	0	0	0.0
289.933	0.4214739229024944	betty	214_toussez	0	0	0.0
290.3544739229025	1.4975260770975143	answer	Rien	-2	3	1.4975260770975143
291.85200000000003	7.073999999999955	ITI	Rien	0	0	0.0
298.926	0.6693197278911565	anne	182_francais	0	0	0.0
299.59531972789114	0.4026802721088517	answer	Rien	-1	1	0.4026802721088517
299.998	9.036000000000001	ITI	Rien	0	0	0.0
309.034	0.4	chloe	233_pouvez	0	0	0.0
309.43399999999997	0.6700000000000322	answer	Rien	-3	2	0.6700000000000322
310.104	8.560000000000002	ITI	Rien	0	0	0.0
318.664	0.4651927437641724	anne	182_hallo	0	0	0.0
319.1291927437642	0.984807256235844	answer	Rien	-1	1	0.984807256235844
320.11400000000003	7.86099999999999	ITI	Rien	0	0	0.0
327.975	0.8059410430839002	chloe	233_mardi	0	0	0.0
328.78094104308394	1.365058956916076	answer	Rien	-3	2	1.365058956916076
330.146	6.901999999999987	ITI	Rien	0	0	0.0
337.048	0.4672789115646258	betty	214_quatre	0	0	0.0
337.5152789115646	1.448721088435367	answer	Rien	-2	2	1.448721088435367
338.964	5.644999999999982	ITI	Rien	0	0	0.0
