onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 2.069	ITI	0	0	 0.000
 2.069	 0.557	betty	0	0	 0.000
 2.626	 0.478	answer	2	3	 0.455
 3.104	 8.516	ITI	0	0	 0.000
 11.620	 0.398	betty	0	0	 0.000
 12.018	 1.353	answer	2	2	 1.345
 13.371	 6.844	ITI	0	0	 0.000
 20.215	 0.557	anne	0	0	 0.000
 20.772	 2.069	answer	1	2	 2.025
 22.841	 6.368	ITI	0	0	 0.000
 29.209	 0.875	chloe	0	0	 0.000
 30.084	 0.239	answer	3	3	 0.181
 30.323	 8.435	ITI	0	0	 0.000
 38.758	 0.796	anne	0	0	 0.000
 39.554	 0.398	answer	1	3	 0.389
 39.952	 8.039	ITI	0	0	 0.000
 47.991	 0.875	chloe	0	0	 0.000
 48.866	 0.637	answer	3	2	 0.629
 49.503	 7.958	ITI	0	0	 0.000
 57.461	 0.557	chloe	0	0	 0.000
 58.018	 0.718	answer	3	1	 0.671
 58.736	 7.799	ITI	0	0	 0.000
 66.535	 0.477	betty	0	0	 0.000
 67.012	 2.706	answer	2	1	 2.651
 69.718	 6.686	ITI	0	0	 0.000
 76.404	 0.795	anne	0	0	 0.000
 77.199	 0.160	answer	1	3	 0.146
 77.359	 8.594	ITI	0	0	 0.000
 85.953	 0.478	chloe	0	0	 0.000
 86.431	 0.477	answer	3	1	 0.408
 86.908	 8.596	ITI	0	0	 0.000
 95.504	 0.717	anne	0	0	 0.000
 96.221	 1.352	answer	1	3	 1.288
 97.573	 8.516	ITI	0	0	 0.000
 106.089	 0.477	betty	0	0	 0.000
 106.566	 1.592	answer	2	2	 1.549
 108.158	 7.720	ITI	0	0	 0.000
 115.878	 0.478	anne	0	0	 0.000
 116.356	 1.591	answer	1	1	 1.537
 117.947	 7.083	ITI	0	0	 0.000
 125.030	 0.478	betty	0	0	 0.000
 125.508	 1.750	answer	2	1	 1.699
 127.258	 8.755	ITI	0	0	 0.000
 136.013	 0.796	chloe	0	0	 0.000
 136.809	 0.239	answer	3	3	 0.214
 137.048	 8.515	ITI	0	0	 0.000
 145.563	 0.558	anne	0	0	 0.000
 146.121	 1.353	answer	1	1	 1.306
 147.474	 7.481	ITI	0	0	 0.000
 154.955	 0.637	betty	0	0	 0.000
 155.592	 0.238	answer	2	2	 0.203
 155.830	 10.984	ITI	0	0	 0.000
 166.814	 0.636	chloe	0	0	 0.000
 167.450	 0.557	answer	3	1	 0.489
 168.007	 7.799	ITI	0	0	 0.000
 175.806	 0.557	betty	0	0	 0.000
 176.363	 0.478	answer	2	3	 0.438
 176.841	 8.437	ITI	0	0	 0.000
 185.278	 0.477	chloe	0	0	 0.000
 185.755	 0.478	answer	3	1	 0.450
 186.233	 7.719	ITI	0	0	 0.000
 193.952	 0.557	anne	0	0	 0.000
 194.509	 2.547	answer	1	1	 2.542
 197.056	 6.686	ITI	0	0	 0.000
 203.742	 0.557	betty	0	0	 0.000
 204.299	 0.318	answer	2	2	 0.312
 204.617	 9.391	ITI	0	0	 0.000
 214.008	 0.875	chloe	0	0	 0.000
 214.883	 0.159	answer	3	3	 0.132
 215.042	 8.039	ITI	0	0	 0.000
 223.081	 0.716	anne	0	0	 0.000
 223.797	 0.239	answer	1	2	 0.190
 224.036	 8.038	ITI	0	0	 0.000
 232.074	 0.716	anne	0	0	 0.000
 232.790	 2.786	answer	1	2	 2.711
 235.576	 6.367	ITI	0	0	 0.000
 241.943	 0.796	chloe	0	0	 0.000
 242.739	 0.238	answer	3	3	 0.238
 242.977	 7.004	ITI	0	0	 0.000
 249.981	 0.636	chloe	0	0	 0.000
 250.617	 0.239	answer	3	3	 0.186
 250.856	 8.278	ITI	0	0	 0.000
 259.134	 0.636	betty	0	0	 0.000
 259.770	 0.080	answer	2	3	 0.049
 259.850	 5.411	ITI	0	0	 0.000
 265.261	 0.717	betty	0	0	 0.000
 265.978	 1.512	answer	2	2	 1.487
 267.490	 7.720	ITI	0	0	 0.000
 275.210	 0.796	chloe	0	0	 0.000
 276.006	 0.398	answer	3	3	 0.359
 276.404	 8.117	ITI	0	0	 0.000
 284.521	 0.398	betty	0	0	 0.000
 284.919	 0.796	answer	2	1	 0.756
 285.715	 7.641	ITI	0	0	 0.000
 293.356	 0.716	anne	0	0	 0.000
 294.072	 1.114	answer	1	3	 1.065
 295.186	 8.357	ITI	0	0	 0.000
 303.543	 0.478	anne	0	0	 0.000
 304.021	 1.034	answer	1	1	 0.978
 305.055	 7.242	ITI	0	0	 0.000
 312.297	 0.876	chloe	0	0	 0.000
 313.173	 0.079	answer	3	3	 0.040
 313.252	 5.014	ITI	0	0	 0.000
 318.266	 0.716	betty	0	0	 0.000
 318.982	 1.512	answer	2	3	 1.437
 320.494	 7.561	ITI	0	0	 0.000
 328.055	 0.717	anne	0	0	 0.000
 328.772	 0.875	answer	1	3	 0.861
 329.647	 6.128	ITI	0	0	 0.000
 335.775	 4.138	END	0	0	 0.000
