onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 2.069	ITI	0	0	 0.000
 2.069	 0.716	betty	0	0	 0.000
 2.785	 2.467	answer	2	2	 2.442
 5.252	 6.288	ITI	0	0	 0.000
 11.540	 0.717	anne	0	0	 0.000
 12.257	 1.750	answer	1	1	 1.690
 14.007	 6.685	ITI	0	0	 0.000
 20.692	 0.478	betty	0	0	 0.000
 21.170	 2.945	answer	2	2	 2.883
 24.115	 5.491	ITI	0	0	 0.000
 29.606	 0.478	chloe	0	0	 0.000
 30.084	 0.955	answer	3	3	 0.955
 31.039	 7.799	ITI	0	0	 0.000
 38.838	 0.796	anne	0	0	 0.000
 39.634	 2.388	answer	1	2	 2.333
 42.022	 6.605	ITI	0	0	 0.000
 48.627	 0.717	betty	0	0	 0.000
 49.344	 2.865	answer	2	1	 2.799
 52.209	 6.605	ITI	0	0	 0.000
 58.814	 0.876	chloe	0	0	 0.000
 59.690	 1.751	answer	3	2	 1.699
 61.441	 6.765	ITI	0	0	 0.000
 68.206	 0.557	betty	0	0	 0.000
 68.763	 1.830	answer	2	2	 1.810
 70.593	 7.880	ITI	0	0	 0.000
 78.473	 0.716	anne	0	0	 0.000
 79.189	 1.194	answer	1	1	 1.194
 80.383	 7.003	ITI	0	0	 0.000
 87.386	 0.796	chloe	0	0	 0.000
 88.182	 5.172	answer	3	0	 0.000
 93.354	 3.025	ITI	0	0	 0.000
 96.379	 0.717	anne	0	0	 0.000
 97.096	 5.173	answer	1	0	 0.000
 102.269	 3.979	ITI	0	0	 0.000
 106.248	 0.398	betty	0	0	 0.000
 106.646	 5.173	answer	2	0	 0.000
 111.819	 3.422	ITI	0	0	 0.000
 115.241	 0.557	anne	0	0	 0.000
 115.798	 5.173	answer	1	0	 0.001
 120.971	 4.139	ITI	0	0	 0.000
 125.110	 0.557	betty	0	0	 0.000
 125.667	 2.148	answer	2	2	 2.112
 127.815	 8.357	ITI	0	0	 0.000
 136.172	 0.637	chloe	0	0	 0.000
 136.809	 2.785	answer	3	3	 2.754
 139.594	 8.437	ITI	0	0	 0.000
 148.031	 0.478	chloe	0	0	 0.000
 148.509	 2.626	answer	3	2	 2.582
 151.135	 5.889	ITI	0	0	 0.000
 157.024	 0.716	anne	0	0	 0.000
 157.740	 5.173	answer	1	0	 0.000
 162.913	 3.900	ITI	0	0	 0.000
 166.813	 0.478	anne	0	0	 0.000
 167.291	 5.173	answer	1	0	 0.000
 172.464	 3.342	ITI	0	0	 0.000
 175.806	 0.637	chloe	0	0	 0.000
 176.443	 5.174	answer	3	0	 0.000
 181.617	 4.058	ITI	0	0	 0.000
 185.675	 0.637	betty	0	0	 0.000
 186.312	 1.751	answer	2	2	 1.729
 188.063	 6.923	ITI	0	0	 0.000
 194.986	 0.478	anne	0	0	 0.000
 195.464	 0.796	answer	1	1	 0.741
 196.260	 8.596	ITI	0	0	 0.000
 204.856	 0.875	chloe	0	0	 0.000
 205.731	 2.149	answer	3	1	 2.102
 207.880	 6.685	ITI	0	0	 0.000
 214.565	 0.477	betty	0	0	 0.000
 215.042	 5.174	answer	2	0	 0.000
 220.216	 4.059	ITI	0	0	 0.000
 224.275	 0.557	betty	0	0	 0.000
 224.832	 5.172	answer	2	0	 0.000
 230.004	 3.104	ITI	0	0	 0.000
 233.108	 0.797	chloe	0	0	 0.000
 233.905	 1.353	answer	3	3	 1.296
 235.258	 6.844	ITI	0	0	 0.000
 242.102	 0.477	betty	0	0	 0.000
 242.579	 5.173	answer	2	0	 0.000
 247.752	 4.219	ITI	0	0	 0.000
 251.971	 0.557	anne	0	0	 0.000
 252.528	 5.173	answer	1	0	 0.000
 257.701	 3.501	ITI	0	0	 0.000
 261.202	 0.558	chloe	0	0	 0.000
 261.760	 5.172	answer	3	0	 0.000
 266.932	 4.697	ITI	0	0	 0.000
 271.629	 0.636	betty	0	0	 0.000
 272.265	 2.865	answer	2	1	 2.804
 275.130	 7.163	ITI	0	0	 0.000
 282.293	 0.795	chloe	0	0	 0.000
 283.088	 5.174	answer	3	0	 0.000
 288.262	 2.069	ITI	0	0	 0.000
 290.331	 0.558	anne	0	0	 0.000
 290.889	 5.172	answer	1	0	 0.000
 296.061	 3.104	ITI	0	0	 0.000
 299.165	 0.875	chloe	0	0	 0.000
 300.040	 2.865	answer	3	2	 2.861
 302.905	 6.209	ITI	0	0	 0.000
 309.114	 0.398	betty	0	0	 0.000
 309.512	 5.172	answer	2	0	 0.000
 314.684	 3.263	ITI	0	0	 0.000
 317.947	 0.796	anne	0	0	 0.000
 318.743	 0.955	answer	1	1	 0.890
 319.698	 7.959	ITI	0	0	 0.000
 327.657	 0.876	chloe	0	0	 0.000
 328.533	 5.173	answer	3	0	 0.000
 333.706	 3.183	ITI	0	0	 0.000
 336.889	 0.716	anne	0	0	 0.000
 337.605	 2.946	answer	1	2	 2.918
 340.551	 4.058	ITI	0	0	 0.000
 344.609	 4.138	END	0	0	 0.000
