onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 2.069	ITI	0	0	 0.000
 2.069	 0.717	betty	0	0	 0.000
 2.786	 2.706	answer	2	2	 2.688
 5.492	 6.049	ITI	0	0	 0.000
 11.541	 0.716	anne	0	0	 0.000
 12.257	 0.637	answer	1	1	 0.601
 12.894	 7.799	ITI	0	0	 0.000
 20.693	 0.478	betty	0	0	 0.000
 21.171	 2.865	answer	2	2	 2.835
 24.036	 5.571	ITI	0	0	 0.000
 29.607	 0.477	chloe	0	0	 0.000
 30.084	 0.398	answer	3	3	 0.372
 30.482	 8.357	ITI	0	0	 0.000
 38.839	 0.796	anne	0	0	 0.000
 39.635	 0.796	answer	1	1	 0.735
 40.431	 8.197	ITI	0	0	 0.000
 48.628	 0.716	betty	0	0	 0.000
 49.344	 0.796	answer	2	1	 0.764
 50.140	 8.675	ITI	0	0	 0.000
 58.815	 0.876	chloe	0	0	 0.000
 59.691	 1.910	answer	3	2	 1.909
 61.601	 6.605	ITI	0	0	 0.000
 68.206	 0.557	betty	0	0	 0.000
 68.763	 5.174	answer	2	0	 0.000
 73.937	 4.536	ITI	0	0	 0.000
 78.473	 0.716	anne	0	0	 0.000
 79.189	 0.716	answer	1	1	 0.665
 79.905	 7.481	ITI	0	0	 0.000
 87.386	 0.796	chloe	0	0	 0.000
 88.182	 1.512	answer	3	3	 1.488
 89.694	 6.686	ITI	0	0	 0.000
 96.380	 0.716	anne	0	0	 0.000
 97.096	 2.308	answer	1	1	 2.242
 99.404	 6.844	ITI	0	0	 0.000
 106.248	 0.398	betty	0	0	 0.000
 106.646	 2.150	answer	2	2	 2.126
 108.796	 6.446	ITI	0	0	 0.000
 115.242	 0.557	anne	0	0	 0.000
 115.799	 5.173	answer	1	0	 0.000
 120.972	 4.138	ITI	0	0	 0.000
 125.110	 0.557	betty	0	0	 0.000
 125.667	 5.174	answer	2	0	 0.000
 130.841	 5.332	ITI	0	0	 0.000
 136.173	 0.636	chloe	0	0	 0.000
 136.809	 0.160	answer	3	3	 0.127
 136.969	 11.062	ITI	0	0	 0.000
 148.031	 0.478	chloe	0	0	 0.000
 148.509	 2.069	answer	3	1	 1.993
 150.578	 6.446	ITI	0	0	 0.000
 157.024	 0.716	anne	0	0	 0.000
 157.740	 0.955	answer	1	1	 0.920
 158.695	 8.119	ITI	0	0	 0.000
 166.814	 0.477	anne	0	0	 0.000
 167.291	 1.910	answer	1	2	 1.841
 169.201	 6.606	ITI	0	0	 0.000
 175.807	 0.636	chloe	0	0	 0.000
 176.443	 0.478	answer	3	3	 0.461
 176.921	 8.755	ITI	0	0	 0.000
 185.676	 0.636	betty	0	0	 0.000
 186.312	 0.955	answer	2	2	 0.908
 187.267	 7.720	ITI	0	0	 0.000
 194.987	 0.477	anne	0	0	 0.000
 195.464	 0.717	answer	1	1	 0.698
 196.181	 8.675	ITI	0	0	 0.000
 204.856	 0.875	chloe	0	0	 0.000
 205.731	 2.229	answer	3	2	 2.221
 207.960	 6.606	ITI	0	0	 0.000
 214.566	 0.477	betty	0	0	 0.000
 215.043	 5.173	answer	2	0	 0.000
 220.216	 4.059	ITI	0	0	 0.000
 224.275	 0.557	betty	0	0	 0.000
 224.832	 2.547	answer	2	2	 2.512
 227.379	 5.730	ITI	0	0	 0.000
 233.109	 0.796	chloe	0	0	 0.000
 233.905	 2.945	answer	3	3	 2.893
 236.850	 5.252	ITI	0	0	 0.000
 242.102	 0.478	betty	0	0	 0.000
 242.580	 5.172	answer	2	0	 0.000
 247.752	 4.219	ITI	0	0	 0.000
 251.971	 0.557	anne	0	0	 0.000
 252.528	 5.173	answer	1	0	 0.000
 257.701	 3.502	ITI	0	0	 0.000
 261.203	 0.557	chloe	0	0	 0.000
 261.760	 0.398	answer	3	1	 0.380
 262.158	 9.471	ITI	0	0	 0.000
 271.629	 0.637	betty	0	0	 0.000
 272.266	 1.910	answer	2	3	 1.882
 274.176	 8.117	ITI	0	0	 0.000
 282.293	 0.796	chloe	0	0	 0.000
 283.089	 0.797	answer	3	3	 0.737
 283.886	 6.446	ITI	0	0	 0.000
 290.332	 0.557	anne	0	0	 0.000
 290.889	 5.173	answer	1	0	 0.000
 296.062	 3.103	ITI	0	0	 0.000
 299.165	 0.876	chloe	0	0	 0.000
 300.041	 1.115	answer	3	3	 1.103
 301.156	 7.958	ITI	0	0	 0.000
 309.114	 0.398	betty	0	0	 0.000
 309.512	 1.114	answer	2	3	 1.092
 310.626	 7.322	ITI	0	0	 0.000
 317.948	 0.796	anne	0	0	 0.000
 318.744	 0.478	answer	1	1	 0.430
 319.222	 8.436	ITI	0	0	 0.000
 327.658	 0.875	chloe	0	0	 0.000
 328.533	 5.173	answer	3	0	 0.000
 333.706	 3.184	ITI	0	0	 0.000
 336.890	 0.716	anne	0	0	 0.000
 337.606	 2.467	answer	1	1	 2.426
 340.073	 4.536	ITI	0	0	 0.000
 344.609	 4.138	END	0	0	 0.000
