onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 2.069	ITI	0	0	 0.000
 2.069	 0.557	betty	0	0	 0.000
 2.626	 1.910	answer	2	2	 1.894
 4.536	 7.083	ITI	0	0	 0.000
 11.619	 0.398	betty	0	0	 0.000
 12.017	 1.274	answer	2	3	 1.247
 13.291	 6.923	ITI	0	0	 0.000
 20.214	 0.557	anne	0	0	 0.000
 20.771	 1.512	answer	1	1	 1.473
 22.283	 6.925	ITI	0	0	 0.000
 29.208	 0.875	chloe	0	0	 0.000
 30.083	 1.035	answer	3	3	 0.971
 31.118	 7.640	ITI	0	0	 0.000
 38.758	 0.796	anne	0	0	 0.000
 39.554	 0.796	answer	1	1	 0.782
 40.350	 7.640	ITI	0	0	 0.000
 47.990	 0.876	chloe	0	0	 0.000
 48.866	 1.353	answer	3	3	 1.342
 50.219	 7.242	ITI	0	0	 0.000
 57.461	 0.557	chloe	0	0	 0.000
 58.018	 1.512	answer	3	2	 1.482
 59.530	 7.004	ITI	0	0	 0.000
 66.534	 0.477	betty	0	0	 0.000
 67.011	 1.990	answer	2	2	 1.921
 69.001	 7.401	ITI	0	0	 0.000
 76.402	 0.796	anne	0	0	 0.000
 77.198	 0.955	answer	1	1	 0.928
 78.153	 7.800	ITI	0	0	 0.000
 85.953	 0.477	chloe	0	0	 0.000
 86.430	 1.910	answer	3	3	 1.900
 88.340	 7.163	ITI	0	0	 0.000
 95.503	 0.716	anne	0	0	 0.000
 96.219	 0.875	answer	1	1	 0.833
 97.094	 8.994	ITI	0	0	 0.000
 106.088	 0.478	betty	0	0	 0.000
 106.566	 1.273	answer	2	2	 1.246
 107.839	 8.039	ITI	0	0	 0.000
 115.878	 0.477	anne	0	0	 0.000
 116.355	 1.910	answer	1	1	 1.905
 118.265	 6.765	ITI	0	0	 0.000
 125.030	 0.477	betty	0	0	 0.000
 125.507	 2.149	answer	2	3	 2.087
 127.656	 8.357	ITI	0	0	 0.000
 136.013	 0.796	chloe	0	0	 0.000
 136.809	 1.432	answer	3	3	 1.391
 138.241	 7.322	ITI	0	0	 0.000
 145.563	 0.557	anne	0	0	 0.000
 146.120	 1.034	answer	1	1	 0.996
 147.154	 7.800	ITI	0	0	 0.000
 154.954	 0.637	betty	0	0	 0.000
 155.591	 2.467	answer	2	3	 2.423
 158.058	 8.754	ITI	0	0	 0.000
 166.812	 0.637	chloe	0	0	 0.000
 167.449	 0.876	answer	3	3	 0.847
 168.325	 7.481	ITI	0	0	 0.000
 175.806	 0.557	betty	0	0	 0.000
 176.363	 0.477	answer	2	2	 0.463
 176.840	 8.436	ITI	0	0	 0.000
 185.276	 0.478	chloe	0	0	 0.000
 185.754	 2.149	answer	3	1	 2.122
 187.903	 6.048	ITI	0	0	 0.000
 193.951	 0.557	anne	0	0	 0.000
 194.508	 1.910	answer	1	1	 1.848
 196.418	 7.323	ITI	0	0	 0.000
 203.741	 0.557	betty	0	0	 0.000
 204.298	 1.273	answer	2	3	 1.268
 205.571	 8.436	ITI	0	0	 0.000
 214.007	 0.875	chloe	0	0	 0.000
 214.882	 2.229	answer	3	2	 2.210
 217.111	 5.969	ITI	0	0	 0.000
 223.080	 0.717	anne	0	0	 0.000
 223.797	 0.477	answer	1	1	 0.437
 224.274	 7.799	ITI	0	0	 0.000
 232.073	 0.716	anne	0	0	 0.000
 232.789	 0.478	answer	1	1	 0.471
 233.267	 8.675	ITI	0	0	 0.000
 241.942	 0.796	chloe	0	0	 0.000
 242.738	 1.671	answer	3	3	 1.632
 244.409	 5.571	ITI	0	0	 0.000
 249.980	 0.637	chloe	0	0	 0.000
 250.617	 0.795	answer	3	3	 0.729
 251.412	 7.721	ITI	0	0	 0.000
 259.133	 0.637	betty	0	0	 0.000
 259.770	 0.875	answer	2	2	 0.806
 260.645	 9.152	ITI	0	0	 0.000
 269.797	 0.716	betty	0	0	 0.000
 270.513	 2.069	answer	2	2	 2.007
 272.582	 7.164	ITI	0	0	 0.000
 279.746	 0.795	chloe	0	0	 0.000
 280.541	 1.831	answer	3	3	 1.771
 282.372	 6.685	ITI	0	0	 0.000
 289.057	 0.398	betty	0	0	 0.000
 289.455	 1.114	answer	2	2	 1.083
 290.569	 7.322	ITI	0	0	 0.000
 297.891	 0.716	anne	0	0	 0.000
 298.607	 2.547	answer	1	1	 2.495
 301.154	 6.924	ITI	0	0	 0.000
 308.078	 0.478	anne	0	0	 0.000
 308.556	 1.194	answer	1	1	 1.118
 309.750	 7.083	ITI	0	0	 0.000
 316.833	 0.875	chloe	0	0	 0.000
 317.708	 1.910	answer	3	3	 1.896
 319.618	 7.482	ITI	0	0	 0.000
 327.100	 0.716	betty	0	0	 0.000
 327.816	 0.637	answer	2	2	 0.594
 328.453	 8.435	ITI	0	0	 0.000
 336.888	 0.717	anne	0	0	 0.000
 337.605	 0.557	answer	1	1	 0.513
 338.162	 6.447	ITI	0	0	 0.000
 344.609	 4.138	END	0	0	 0.000
