onset	duration	trial_type	file	expected_answer	answer	reaction_time
0.0	2.07	ITI	Rien	0	0	0.0
2.07	0.4849206349206349	betty	214_voyelle	0	0	0.0
2.554920634920635	1.3470793650793653	answer	Rien	-2	2	1.3470793650793653
3.902	8.196000000000002	ITI	Rien	0	0	0.0
12.098	0.3878458049886621	betty	214_pouvez	0	0	0.0
12.485845804988664	2.156154195011336	answer	Rien	-2	3	2.156154195011336
14.642	7.006	ITI	Rien	0	0	0.0
21.648	0.4126303854875283	anne	182_toussez	0	0	0.0
22.060630385487528	0.7253696145124735	answer	Rien	-1	1	0.7253696145124735
22.786	7.854999999999997	ITI	Rien	0	0	0.0
30.641	0.7627664399092969	anne	182_mardi	0	0	0.0
31.403766439909294	1.718233560090706	answer	Rien	-1	2	1.718233560090706
33.122	6.512999999999998	ITI	Rien	0	0	0.0
39.635	0.464625850340136	chloe	233_penser	0	0	0.0
40.09962585034013	1.9343741496598668	answer	Rien	-3	2	1.9343741496598668
42.034	7.070999999999998	ITI	Rien	0	0	0.0
49.105	0.8311337868480726	chloe	233_francais	0	0	0.0
49.93613378684807	1.1278662131519326	answer	Rien	-3	1	1.1278662131519326
51.064	10.139000000000003	ITI	Rien	0	0	0.0
61.203	0.6545351473922902	betty	214_jeudi	0	0	0.0
61.85753514739229	0.8664648526077059	answer	Rien	-2	2	0.8664648526077059
62.724	8.585	ITI	Rien	0	0	0.0
71.309	0.4357142857142857	chloe	233_hallo	0	0	0.0
71.74471428571428	0.8112857142857166	answer	Rien	-3	1	0.8112857142857166
72.556	7.668000000000006	ITI	Rien	0	0	0.0
80.224	0.6176643990929706	anne	182_quatre	0	0	0.0
80.84166439909298	2.800335600907019	answer	Rien	-1	3	2.800335600907019
83.642	5.655000000000001	ITI	Rien	0	0	0.0
89.297	0.6878231292517006	anne	182_lundi	0	0	0.0
89.9848231292517	0.6091768707482998	answer	Rien	-1	2	0.6091768707482998
90.594	8.01400000000001	ITI	Rien	0	0	0.0
98.608	0.42	betty	214_partie	0	0	0.0
99.028	1.661999999999992	answer	Rien	-2	2	1.661999999999992
100.69	7.070999999999998	ITI	Rien	0	0	0.0
107.761	0.5071655328798186	betty	214_neutre	0	0	0.0
108.26816553287982	0.6378344671201859	answer	Rien	-2	2	0.6378344671201859
108.906	9.280000000000001	ITI	Rien	0	0	0.0
118.186	0.5902040816326529	chloe	233_toussez	0	0	0.0
118.77620408163266	1.4577959183673386	answer	Rien	-3	3	1.4577959183673386
120.234	9.094000000000008	ITI	Rien	0	0	0.0
129.328	0.7329705215419501	chloe	233_quatre	0	0	0.0
130.06097052154195	0.5870294784580494	answer	Rien	-3	3	0.5870294784580494
130.648	8.707999999999998	ITI	Rien	0	0	0.0
139.356	0.483061224489796	anne	182_partie	0	0	0.0
139.8390612244898	1.110938775510192	answer	Rien	-1	2	1.110938775510192
140.95	7.7970000000000255	ITI	Rien	0	0	0.0
148.747	0.6468934240362811	anne	182_voyelle	0	0	0.0
149.3938934240363	5.010106575963704	answer	Rien	-1	2	5.010106575963704
154.404	4.132000000000005	ITI	Rien	0	0	0.0
158.536	0.6852380952380952	betty	214_mardi	0	0	0.0
159.2212380952381	0.6667619047618984	answer	Rien	-2	2	0.6667619047618984
159.888	7.641999999999996	ITI	Rien	0	0	0.0
167.53	0.33918367346938777	betty	214_penser	0	0	0.0
167.8691836734694	1.1708163265305984	answer	Rien	-2	2	1.1708163265305984
169.04	7.562000000000012	ITI	Rien	0	0	0.0
176.602	0.5778684807256236	chloe	233_partie	0	0	0.0
177.17986848072562	0.5401315192743823	answer	Rien	-3	3	0.5401315192743823
177.72	8.274000000000001	ITI	Rien	0	0	0.0
185.994	0.4461678004535147	anne	182_penser	0	0	0.0
186.4401678004535	0.34383219954648325	answer	Rien	-1	1	0.34383219954648325
186.784	9.39700000000002	ITI	Rien	0	0	0.0
196.181	0.7930385487528344	chloe	233_lundi	0	0	0.0
196.97403854875284	1.2759614512471558	answer	Rien	-3	3	1.2759614512471558
198.25	7.003999999999991	ITI	Rien	0	0	0.0
205.254	0.7290702947845805	anne	182_jeudi	0	0	0.0
205.98307029478457	0.6129297052154357	answer	Rien	-1	3	0.6129297052154357
206.596	8.686000000000007	ITI	Rien	0	0	0.0
215.282	0.5675963718820861	betty	214_lundi	0	0	0.0
215.8495963718821	0.7864036281179096	answer	Rien	-2	3	0.7864036281179096
216.636	7.5589999999999975	ITI	Rien	0	0	0.0
224.195	0.6146031746031746	betty	214_francais	0	0	0.0
224.80960317460315	0.5343968253968399	answer	Rien	-2	2	0.5343968253968399
225.344	8.480999999999995	ITI	Rien	0	0	0.0
233.825	0.7373015873015873	chloe	233_jeudi	0	0	0.0
234.5623015873016	1.1696984126984091	answer	Rien	-3	3	1.1696984126984091
235.732	7.324999999999989	ITI	Rien	0	0	0.0
243.057	0.6907256235827665	anne	182_neutre	0	0	0.0
243.74772562358277	0.9202743764172396	answer	Rien	-1	2	0.9202743764172396
244.668	7.620999999999981	ITI	Rien	0	0	0.0
252.289	0.4803174603174603	anne	182_pouvez	0	0	0.0
252.76931746031744	0.5926825396825564	answer	Rien	-1	1	0.5926825396825564
253.362	7.9199999999999875	ITI	Rien	0	0	0.0
261.282	0.317687074829932	betty	214_hallo	0	0	0.0
261.5996870748299	1.0623129251700902	answer	Rien	-2	3	1.0623129251700902
262.662	9.04600000000005	ITI	Rien	0	0	0.0
271.708	0.7879138321995465	chloe	233_neutre	0	0	0.0
272.49591383219956	2.9960861678004562	answer	Rien	-3	3	2.9960861678004562
275.492	4.334000000000003	ITI	Rien	0	0	0.0
279.826	0.7115419501133787	chloe	233_voyelle	0	0	0.0
280.5375419501134	1.1204580498866221	answer	Rien	-3	3	1.1204580498866221
281.658	8.27600000000001	ITI	Rien	0	0	0.0
289.934	0.4214739229024944	betty	214_toussez	0	0	0.0
290.35547392290255	1.11452607709748	answer	Rien	-2	2	1.11452607709748
291.47	7.45599999999996	ITI	Rien	0	0	0.0
298.926	0.6693197278911565	anne	182_francais	0	0	0.0
299.59531972789114	0.0706802721088593	answer	Rien	-1	1	0.0706802721088593
299.666	9.367999999999995	ITI	Rien	0	0	0.0
309.034	0.4	chloe	233_pouvez	0	0	0.0
309.43399999999997	0.646000000000015	answer	Rien	-3	1	0.646000000000015
310.08	8.585000000000036	ITI	Rien	0	0	0.0
318.665	0.4651927437641724	anne	182_hallo	0	0	0.0
319.1301927437642	0.567807256235767	answer	Rien	-1	1	0.567807256235767
319.698	8.27800000000002	ITI	Rien	0	0	0.0
327.976	0.8059410430839002	chloe	233_mardi	0	0	0.0
328.7819410430839	0.6800589569160707	answer	Rien	-3	3	0.6800589569160707
329.462	7.586999999999989	ITI	Rien	0	0	0.0
337.049	0.4672789115646258	betty	214_quatre	0	0	0.0
337.5162789115646	0.7377210884354213	answer	Rien	-2	2	0.7377210884354213
338.254	6.354999999999961	ITI	Rien	0	0	0.0
