onset	duration	trial_type	file	expected_answer	answer	reaction_time
0.0	2.069	ITI	Rien	0	0	0.0
2.069	0.6146031746031746	betty	214_francais	0	0	0.0
2.6836031746031743	2.139396825396826	answer	Rien	-2	2	2.139396825396826
4.823	6.398	ITI	Rien	0	0	0.0
11.221	0.33918367346938777	betty	214_penser	0	0	0.0
11.560183673469387	3.8008163265306134	answer	Rien	-2	2	3.8008163265306134
15.361	5.172000000000001	ITI	Rien	0	0	0.0
20.533	0.6468934240362811	anne	182_voyelle	0	0	0.0
21.179893424036283	1.581106575963716	answer	Rien	-1	1	1.581106575963716
22.761	7.004999999999999	ITI	Rien	0	0	0.0
29.766	0.7329705215419501	chloe	233_quatre	0	0	0.0
30.49897052154195	0.7120294784580494	answer	Rien	-3	3	0.7120294784580494
31.211	8.184000000000005	ITI	Rien	0	0	0.0
39.395	0.4214739229024944	betty	214_toussez	0	0	0.0
39.816473922902496	1.6305260770975067	answer	Rien	-2	2	1.6305260770975067
41.447	7.7379999999999995	ITI	Rien	0	0	0.0
49.185	0.7930385487528344	chloe	233_lundi	0	0	0.0
49.978038548752835	1.4189614512471636	answer	Rien	-3	3	1.4189614512471636
51.397	6.940000000000005	ITI	Rien	0	0	0.0
58.337	0.6907256235827665	anne	182_neutre	0	0	0.0
59.02772562358277	2.3672743764172353	answer	Rien	-1	1	2.3672743764172353
61.395	6.413000000000004	ITI	Rien	0	0	0.0
67.808	0.4803174603174603	anne	182_pouvez	0	0	0.0
68.28831746031747	0.9926825396825336	answer	Rien	-1	1	0.9926825396825336
69.281	8.155999999999992	ITI	Rien	0	0	0.0
77.437	0.5071655328798186	betty	214_neutre	0	0	0.0
77.94416553287982	1.0848344671201744	answer	Rien	-2	2	1.0848344671201744
79.029	7.402000000000001	ITI	Rien	0	0	0.0
86.431	0.6693197278911565	anne	182_francais	0	0	0.0
87.10031972789115	3.378680272108852	answer	Rien	-1	2	3.378680272108852
90.479	5.1839999999999975	ITI	Rien	0	0	0.0
95.663	0.5902040816326529	chloe	233_toussez	0	0	0.0
96.25320408163265	0.35779591836735847	answer	Rien	-3	3	0.35779591836735847
96.611	9.715999999999994	ITI	Rien	0	0	0.0
106.327	0.3878458049886621	betty	214_pouvez	0	0	0.0
106.71484580498866	0.9501541950113506	answer	Rien	-2	2	0.9501541950113506
107.665	7.813999999999993	ITI	Rien	0	0	0.0
115.479	0.4651927437641724	anne	182_hallo	0	0	0.0
115.94419274376418	0.35480725623583	answer	Rien	-1	1	0.35480725623583
116.299	8.173999999999992	ITI	Rien	0	0	0.0
124.473	0.42	betty	214_partie	0	0	0.0
124.893	0.7319999999999993	answer	Rien	-2	2	0.7319999999999993
125.625	7.522999999999996	ITI	Rien	0	0	0.0
133.148	0.8311337868480726	chloe	233_francais	0	0	0.0
133.97913378684808	0.3498662131519268	answer	Rien	-3	1	0.3498662131519268
134.329	8.687999999999988	ITI	Rien	0	0	0.0
143.017	0.7627664399092969	anne	182_mardi	0	0	0.0
143.77976643990928	3.5972335600907286	answer	Rien	-1	2	3.5972335600907286
147.377	7.657999999999987	ITI	Rien	0	0	0.0
155.035	0.7115419501133787	chloe	233_voyelle	0	0	0.0
155.74654195011337	1.4024580498866328	answer	Rien	-3	3	1.4024580498866328
157.149	8.072000000000003	ITI	Rien	0	0	0.0
165.221	0.483061224489796	anne	182_partie	0	0	0.0
165.7040612244898	2.736938775510197	answer	Rien	-1	3	2.736938775510197
168.441	7.046999999999997	ITI	Rien	0	0	0.0
175.488	0.4357142857142857	chloe	233_hallo	0	0	0.0
