onset	duration	trial_type	file	expected_answer	answer	reaction_time
0.0	2.069	ITI	Rien	0	0	0.0
2.069	0.4849206349206349	betty	214_voyelle	0	0	0.0
2.553920634920635	1.651079365079365	answer	Rien	-2	2	1.651079365079365
4.205	7.891	ITI	Rien	0	0	0.0
12.096	0.3878458049886621	betty	214_pouvez	0	0	0.0
12.483845804988663	2.613154195011338	answer	Rien	-2	2	2.613154195011338
15.097000000000001	6.549999999999997	ITI	Rien	0	0	0.0
21.647	0.4126303854875283	anne	182_toussez	0	0	0.0
22.059630385487527	1.1813696145124735	answer	Rien	-1	1	1.1813696145124735
23.241	7.399000000000001	ITI	Rien	0	0	0.0
30.64	0.7627664399092969	anne	182_mardi	0	0	0.0
31.402766439909296	1.8902335600907025	answer	Rien	-1	3	1.8902335600907025
33.293	6.341000000000001	ITI	Rien	0	0	0.0
39.634	0.464625850340136	chloe	233_penser	0	0	0.0
40.098625850340134	0.0	answer	Rien	-3	0	0.0
40.098625850340134	9.005374149659865	ITI	Rien	0	0	0.0
49.104	0.8311337868480726	chloe	233_francais	0	0	0.0
49.93513378684807	1.1738662131519273	answer	Rien	-3	3	1.1738662131519273
51.108999999999995	10.092000000000006	ITI	Rien	0	0	0.0
61.201	0.6545351473922902	betty	214_jeudi	0	0	0.0
61.85553514739229	0.0	answer	Rien	-2	0	0.0
61.85553514739229	9.45346485260771	ITI	Rien	0	0	0.0
71.309	0.4357142857142857	chloe	233_hallo	0	0	0.0
71.74471428571428	0.0	answer	Rien	-3	0	0.0
71.74471428571428	8.478285714285718	ITI	Rien	0	0	0.0
80.223	0.6176643990929706	anne	182_quatre	0	0	0.0
80.84066439909297	2.482335600907023	answer	Rien	-1	3	2.482335600907023
83.323	5.973000000000013	ITI	Rien	0	0	0.0
89.296	0.6878231292517006	anne	182_lundi	0	0	0.0
89.9838231292517	0.7511768707482933	answer	Rien	-1	1	0.7511768707482933
90.735	7.872	ITI	Rien	0	0	0.0
98.607	0.42	betty	214_partie	0	0	0.0
99.027	1.3580000000000039	answer	Rien	-2	2	1.3580000000000039
100.385	7.375	ITI	Rien	0	0	0.0
107.76	0.5071655328798186	betty	214_neutre	0	0	0.0
108.26716553287983	0.0	answer	Rien	-2	0	0.0
108.26716553287983	9.917834467120173	ITI	Rien	0	0	0.0
118.185	0.5902040816326529	chloe	233_toussez	0	0	0.0
118.77520408163265	0.7497959183673475	answer	Rien	-3	3	0.7497959183673475
119.525	9.801999999999992	ITI	Rien	0	0	0.0
129.327	0.7329705215419501	chloe	233_quatre	0	0	0.0
130.05997052154194	1.8870294784580421	answer	Rien	-3	3	1.8870294784580421
131.94699999999997	7.4080000000000155	ITI	Rien	0	0	0.0
139.355	0.483061224489796	anne	182_partie	0	0	0.0
139.8380612244898	0.0	answer	Rien	-1	0	0.0
139.8380612244898	8.907938775510218	ITI	Rien	0	0	0.0
148.746	0.6468934240362811	anne	182_voyelle	0	0	0.0
149.3928934240363	1.9781065759637033	answer	Rien	-1	2	1.9781065759637033
151.37099999999998	7.1650000000000205	ITI	Rien	0	0	0.0
158.536	0.6852380952380952	betty	214_mardi	0	0	0.0
159.2212380952381	1.051761904761913	answer	Rien	-2	2	1.051761904761913
160.27300000000002	7.255999999999972	ITI	Rien	0	0	0.0
167.529	0.33918367346938777	betty	214_penser	0	0	0.0
167.8681836734694	2.7068163265306087	answer	Rien	-2	2	2.7068163265306087
170.575	6.027000000000015	ITI	Rien	0	0	0.0
176.602	0.5778684807256236	chloe	233_partie	0	0	0.0
177.17986848072562	2.6291315192743765	answer	Rien	-3	3	2.6291315192743765
179.809	6.1839999999999975	ITI	Rien	0	0	0.0
185.993	0.4461678004535147	anne	182_penser	0	0	0.0
186.4391678004535	2.8158321995464894	answer	Rien	-1	1	2.8158321995464894
189.255	6.925000000000011	ITI	Rien	0	0	0.0
196.18	0.7930385487528344	chloe	233_lundi	0	0	0.0
196.97303854875284	2.79396145124717	answer	Rien	-3	3	2.79396145124717
199.767	5.48599999999999	ITI	Rien	0	0	0.0
205.253	0.7290702947845805	anne	182_jeudi	0	0	0.0
205.98207029478456	1.2009297052154353	answer	Rien	-1	1	1.2009297052154353
207.183	8.098000000000013	ITI	Rien	0	0	0.0
215.281	0.5675963718820861	betty	214_lundi	0	0	0.0
215.84859637188208	0.8284036281179096	answer	Rien	-2	2	0.8284036281179096
216.677	7.516999999999996	ITI	Rien	0	0	0.0
224.194	0.6146031746031746	betty	214_francais	0	0	0.0
224.80860317460315	1.7443968253968258	answer	Rien	-2	2	1.7443968253968258
226.55299999999997	7.271000000000043	ITI	Rien	0	0	0.0
233.824	0.7373015873015873	chloe	233_jeudi	0	0	0.0
234.5613015873016	1.017698412698405	answer	Rien	-3	3	1.017698412698405
235.579	7.477000000000004	ITI	Rien	0	0	0.0
243.056	0.6907256235827665	anne	182_neutre	0	0	0.0
243.7467256235828	1.7482743764172133	answer	Rien	-1	2	1.7482743764172133
245.495	6.793000000000006	ITI	Rien	0	0	0.0
252.288	0.4803174603174603	anne	182_pouvez	0	0	0.0
252.76831746031746	2.7826825396825274	answer	Rien	-1	3	2.7826825396825274
255.551	5.730000000000018	ITI	Rien	0	0	0.0
261.281	0.317687074829932	betty	214_hallo	0	0	0.0
261.5986870748299	0.0	answer	Rien	-2	0	0.0
261.5986870748299	10.108312925170083	ITI	Rien	0	0	0.0
271.707	0.7879138321995465	chloe	233_neutre	0	0	0.0
272.49491383219953	2.328086167800487	answer	Rien	-3	3	2.328086167800487
274.82300000000004	5.002999999999986	ITI	Rien	0	0	0.0
279.826	0.7115419501133787	chloe	233_voyelle	0	0	0.0
280.5375419501134	0.08445804988658034	answer	Rien	-3	0	0.08445804988658034
280.62199999999996	9.311000000000035	ITI	Rien	0	0	0.0
289.933	0.4214739229024944	betty	214_toussez	0	0	0.0
290.3544739229025	2.032526077097538	answer	Rien	-2	2	2.032526077097538
292.38700000000006	6.53899999999993	ITI	Rien	0	0	0.0
298.926	0.6693197278911565	anne	182_francais	0	0	0.0
299.59531972789114	0.501680272108828	answer	Rien	-1	1	0.501680272108828
300.097	8.936000000000035	ITI	Rien	0	0	0.0
309.033	0.4	chloe	233_pouvez	0	0	0.0
309.433	2.0240000000000085	answer	Rien	-3	3	2.0240000000000085
311.457	7.206999999999994	ITI	Rien	0	0	0.0
318.664	0.4651927437641724	anne	182_hallo	0	0	0.0
319.1291927437642	3.021807256235844	answer	Rien	-1	1	3.021807256235844
322.151	5.824000000000012	ITI	Rien	0	0	0.0
327.975	0.8059410430839002	chloe	233_mardi	0	0	0.0
328.78094104308394	2.9560589569160998	answer	Rien	-3	3	2.9560589569160998
331.737	5.310999999999979	ITI	Rien	0	0	0.0
337.048	0.4672789115646258	betty	214_quatre	0	0	0.0
337.5152789115646	0.0	answer	Rien	-2	0	0.0
337.5152789115646	7.092721088435383	ITI	Rien	0	0	0.0
