onset	duration	trial_type	file	expected_answer	answer	reaction_time
0.0	2.069	ITI	Rien	0	0	0.0
2.069	0.5071655328798186	betty	214_neutre	0	0	0.0
2.5761655328798185	6.013834467120182	answer	Rien	-2	2	6.013834467120182
8.59	3.029	ITI	Rien	0	0	0.0
11.619	0.317687074829932	betty	214_hallo	0	0	0.0
11.936687074829932	1.1333129251700687	answer	Rien	-2	1	1.1333129251700687
13.07	7.145	ITI	Rien	0	0	0.0
20.215	0.483061224489796	anne	182_partie	0	0	0.0
20.698061224489795	1.6499387755102042	answer	Rien	-1	1	1.6499387755102042
22.348	6.859000000000002	ITI	Rien	0	0	0.0
29.207	0.7879138321995465	chloe	233_neutre	0	0	0.0
29.994913832199547	1.3610861678004547	answer	Rien	-3	3	1.3610861678004547
31.356	7.402000000000001	ITI	Rien	0	0	0.0
38.758	0.7290702947845805	anne	182_jeudi	0	0	0.0
39.48707029478458	3.532929705215423	answer	Rien	-1	2	3.532929705215423
43.02	4.9709999999999965	ITI	Rien	0	0	0.0
47.991	0.8311337868480726	chloe	233_francais	0	0	0.0
48.82213378684807	0.7838662131519314	answer	Rien	-3	3	0.7838662131519314
49.606	7.854999999999997	ITI	Rien	0	0	0.0
57.461	0.464625850340136	chloe	233_penser	0	0	0.0
57.92562585034013	4.900374149659868	answer	Rien	-3	2	4.900374149659868
62.826	3.7080000000000055	ITI	Rien	0	0	0.0
66.534	0.4214739229024944	betty	214_toussez	0	0	0.0
66.9554739229025	2.1285260770975043	answer	Rien	-2	1	2.1285260770975043
69.084	7.317999999999998	ITI	Rien	0	0	0.0
76.402	0.7627664399092969	anne	182_mardi	0	0	0.0
77.1647664399093	3.9332335600906987	answer	Rien	-1	2	3.9332335600906987
81.098	4.855000000000004	ITI	Rien	0	0	0.0
85.953	0.4	chloe	233_pouvez	0	0	0.0
86.35300000000001	5.838999999999984	answer	Rien	-3	3	5.838999999999984
92.192	3.311000000000007	ITI	Rien	0	0	0.0
95.503	0.6878231292517006	anne	182_lundi	0	0	0.0
96.1908231292517	4.013176870748296	answer	Rien	-1	2	4.013176870748296
100.204	5.884	ITI	Rien	0	0	0.0
106.088	0.42	betty	214_partie	0	0	0.0
106.508	1.5820000000000078	answer	Rien	-2	1	1.5820000000000078
108.09	7.786999999999992	ITI	Rien	0	0	0.0
