onset	duration	trial_type	file	expected_answer	answer	reaction_time
0.0	2.069	ITI	Rien	0	0	0.0
2.069	0.5071655328798186	betty	214_neutre	0	0	0.0
2.5761655328798185	1.0848344671201813	answer	Rien	-2	1	1.0848344671201813
3.6609999999999996	7.959	ITI	Rien	0	0	0.0
11.62	0.317687074829932	betty	214_hallo	0	0	0.0
11.937687074829931	1.9133129251700693	answer	Rien	-2	3	1.9133129251700693
13.851	6.363999999999999	ITI	Rien	0	0	0.0
20.215	0.483061224489796	anne	182_partie	0	0	0.0
20.698061224489795	2.5269387755102026	answer	Rien	-1	1	2.5269387755102026
23.224999999999998	5.9830000000000005	ITI	Rien	0	0	0.0
29.208	0.7879138321995465	chloe	233_neutre	0	0	0.0
29.995913832199545	1.3950861678004547	answer	Rien	-3	3	1.3950861678004547
31.391	7.367000000000004	ITI	Rien	0	0	0.0
38.758	0.7290702947845805	anne	182_jeudi	0	0	0.0
39.48707029478458	1.131929705215419	answer	Rien	-1	1	1.131929705215419
40.619	7.372	ITI	Rien	0	0	0.0
47.991	0.8311337868480726	chloe	233_francais	0	0	0.0
48.82213378684807	1.9428662131519274	answer	Rien	-3	3	1.9428662131519274
50.765	6.695999999999998	ITI	Rien	0	0	0.0
57.461	0.464625850340136	chloe	233_penser	0	0	0.0
57.92562585034013	2.041374149659866	answer	Rien	-3	2	2.041374149659866
59.967	6.567000000000007	ITI	Rien	0	0	0.0
66.534	0.4214739229024944	betty	214_toussez	0	0	0.0
66.9554739229025	1.5795260770975	answer	Rien	-2	3	1.5795260770975
68.535	7.868000000000009	ITI	Rien	0	0	0.0
76.403	0.7627664399092969	anne	182_mardi	0	0	0.0
77.1657664399093	2.0792335600906906	answer	Rien	-1	1	2.0792335600906906
79.24499999999999	6.708000000000013	ITI	Rien	0	0	0.0
85.953	0.4	chloe	233_pouvez	0	0	0.0
86.35300000000001	1.5359999999999943	answer	Rien	-3	2	1.5359999999999943
87.88900000000001	7.614999999999995	ITI	Rien	0	0	0.0
95.504	0.6878231292517006	anne	182_lundi	0	0	0.0
96.1918231292517	2.3571768707482934	answer	Rien	-1	1	2.3571768707482934
98.54899999999999	7.540000000000006	ITI	Rien	0	0	0.0
106.089	0.42	betty	214_partie	0	0	0.0
106.509	1.494000000000004	answer	Rien	-2	2	1.494000000000004
108.003	7.875	ITI	Rien	0	0	0.0
