onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 2.069	ITI	0	0	 0.000
 2.069	 0.557	betty	0	0	 0.000
 2.626	 0.636	answer	2	1	 0.569
 3.262	 8.835	ITI	0	0	 0.000
 12.097	 0.477	betty	0	0	 0.000
 12.574	 0.796	answer	2	2	 0.785
 13.370	 8.277	ITI	0	0	 0.000
 21.647	 0.477	anne	0	0	 0.000
 22.124	 0.796	answer	1	1	 0.745
 22.920	 7.721	ITI	0	0	 0.000
 30.641	 0.795	anne	0	0	 0.000
 31.436	 1.512	answer	1	2	 1.461
 32.948	 6.685	ITI	0	0	 0.000
 39.633	 0.557	chloe	0	0	 0.000
 40.190	 5.174	answer	3	0	 0.000
 45.364	 3.740	ITI	0	0	 0.000
 49.104	 0.876	chloe	0	0	 0.000
 49.980	 0.159	answer	3	3	 0.087
 50.139	 11.063	ITI	0	0	 0.000
 61.202	 0.716	betty	0	0	 0.000
 61.918	 2.547	answer	2	1	 2.469
 64.465	 6.844	ITI	0	0	 0.000
 71.309	 0.477	chloe	0	0	 0.000
 71.786	 1.114	answer	3	3	 1.113
 72.900	 7.323	ITI	0	0	 0.000
 80.223	 0.716	anne	0	0	 0.000
 80.939	 0.159	answer	1	1	 0.154
 81.098	 8.197	ITI	0	0	 0.000
 89.295	 0.717	anne	0	0	 0.000
 90.012	 0.397	answer	1	1	 0.359
 90.409	 8.198	ITI	0	0	 0.000
 98.607	 0.478	betty	0	0	 0.000
 99.085	 1.751	answer	2	3	 1.720
 100.836	 6.923	ITI	0	0	 0.000
 107.759	 0.557	betty	0	0	 0.000
 108.316	 1.990	answer	2	2	 1.933
 110.306	 7.879	ITI	0	0	 0.000
 118.185	 0.637	chloe	0	0	 0.000
 118.822	 0.318	answer	3	3	 0.295
 119.140	 10.188	ITI	0	0	 0.000
 129.328	 0.796	chloe	0	0	 0.000
 130.124	 5.173	answer	3	0	 0.000
 135.297	 4.058	ITI	0	0	 0.000
 139.355	 0.557	anne	0	0	 0.000
 139.912	 0.876	answer	1	2	 0.817
 140.788	 7.959	ITI	0	0	 0.000
 148.747	 0.716	anne	0	0	 0.000
 149.463	 0.159	answer	1	1	 0.132
 149.622	 8.914	ITI	0	0	 0.000
 158.536	 0.716	betty	0	0	 0.000
 159.252	 0.875	answer	2	2	 0.797
 160.127	 7.402	ITI	0	0	 0.000
 167.529	 0.398	betty	0	0	 0.000
 167.927	 1.114	answer	2	2	 1.098
 169.041	 7.561	ITI	0	0	 0.000
 176.602	 0.636	chloe	0	0	 0.000
 177.238	 1.274	answer	3	3	 1.197
 178.512	 7.481	ITI	0	0	 0.000
 185.993	 0.478	anne	0	0	 0.000
 186.471	 0.398	answer	1	1	 0.322
 186.869	 9.311	ITI	0	0	 0.000
 196.180	 0.875	chloe	0	0	 0.000
 197.055	 1.911	answer	3	2	 1.860
 198.966	 6.287	ITI	0	0	 0.000
 205.253	 0.796	anne	0	0	 0.000
 206.049	 1.830	answer	1	3	 1.804
 207.879	 7.401	ITI	0	0	 0.000
 215.280	 0.638	betty	0	0	 0.000
 215.918	 2.308	answer	2	3	 2.273
 218.226	 5.968	ITI	0	0	 0.000
 224.194	 0.637	betty	0	0	 0.000
 224.831	 0.876	answer	2	2	 0.834
 225.707	 8.118	ITI	0	0	 0.000
 233.825	 0.796	chloe	0	0	 0.000
 234.621	 1.910	answer	3	1	 1.898
 236.531	 6.525	ITI	0	0	 0.000
 243.056	 0.717	anne	0	0	 0.000
 243.773	 0.318	answer	1	1	 0.286
 244.091	 8.198	ITI	0	0	 0.000
 252.289	 0.557	anne	0	0	 0.000
 252.846	 0.875	answer	1	3	 0.875
 253.721	 7.561	ITI	0	0	 0.000
 261.282	 0.398	betty	0	0	 0.000
 261.680	 1.193	answer	2	2	 1.155
 262.873	 8.835	ITI	0	0	 0.000
 271.708	 0.875	chloe	0	0	 0.000
 272.583	 1.114	answer	3	2	 1.082
 273.697	 6.128	ITI	0	0	 0.000
 279.825	 0.796	chloe	0	0	 0.000
 280.621	 1.751	answer	3	3	 1.702
 282.372	 7.561	ITI	0	0	 0.000
 289.933	 0.478	betty	0	0	 0.000
 290.411	 2.228	answer	2	3	 2.204
 292.639	 6.287	ITI	0	0	 0.000
 298.926	 0.716	anne	0	0	 0.000
 299.642	 0.080	answer	1	1	 0.063
 299.722	 4.855	ITI	0	0	 0.000
 304.577	 0.478	chloe	0	0	 0.000
 305.055	 1.193	answer	3	3	 1.156
 306.248	 7.959	ITI	0	0	 0.000
 314.207	 0.557	anne	0	0	 0.000
 314.764	 1.512	answer	1	2	 1.483
 316.276	 7.243	ITI	0	0	 0.000
 323.519	 0.875	chloe	0	0	 0.000
 324.394	 0.796	answer	3	2	 0.773
 325.190	 7.401	ITI	0	0	 0.000
 332.591	 0.557	betty	0	0	 0.000
 333.148	 1.432	answer	2	3	 1.355
 334.580	 5.572	ITI	0	0	 0.000
 340.152	 4.138	END	0	0	 0.000
