onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 2.070	ITI	0	0	 0.000
 2.070	 0.557	betty	0	0	 0.000
 2.627	 0.716	answer	2	2	 0.691
 3.343	 8.277	ITI	0	0	 0.000
 11.620	 0.398	betty	0	0	 0.000
 12.018	 1.114	answer	2	3	 1.078
 13.132	 7.083	ITI	0	0	 0.000
 20.215	 0.558	anne	0	0	 0.000
 20.773	 0.636	answer	1	1	 0.625
 21.409	 7.799	ITI	0	0	 0.000
 29.208	 0.876	chloe	0	0	 0.000
 30.084	 1.273	answer	3	2	 1.206
 31.357	 7.402	ITI	0	0	 0.000
 38.759	 0.796	anne	0	0	 0.000
 39.555	 0.716	answer	1	1	 0.651
 40.271	 7.720	ITI	0	0	 0.000
 47.991	 0.875	chloe	0	0	 0.000
 48.866	 0.477	answer	3	2	 0.410
 49.343	 8.119	ITI	0	0	 0.000
 57.462	 0.557	chloe	0	0	 0.000
 58.019	 0.716	answer	3	2	 0.683
 58.735	 7.799	ITI	0	0	 0.000
 66.534	 0.478	betty	0	0	 0.000
 67.012	 1.671	answer	2	2	 1.662
 68.683	 7.720	ITI	0	0	 0.000
 76.403	 0.796	anne	0	0	 0.000
 77.199	 1.910	answer	1	1	 1.855
 79.109	 6.844	ITI	0	0	 0.000
 85.953	 0.478	chloe	0	0	 0.000
 86.431	 1.273	answer	3	3	 1.241
 87.704	 7.800	ITI	0	0	 0.000
 95.504	 0.716	anne	0	0	 0.000
 96.220	 0.637	answer	1	1	 0.564
 96.857	 9.231	ITI	0	0	 0.000
 106.088	 0.478	betty	0	0	 0.000
 106.566	 1.433	answer	2	2	 1.374
 107.999	 7.879	ITI	0	0	 0.000
 115.878	 0.477	anne	0	0	 0.000
 116.355	 1.751	answer	1	1	 1.683
 118.106	 6.925	ITI	0	0	 0.000
 125.031	 0.477	betty	0	0	 0.000
 125.508	 0.637	answer	2	2	 0.600
 126.145	 9.868	ITI	0	0	 0.000
 136.013	 0.796	chloe	0	0	 0.000
 136.809	 1.671	answer	3	3	 1.649
 138.480	 7.084	ITI	0	0	 0.000
 145.564	 0.557	anne	0	0	 0.000
 146.121	 0.716	answer	1	1	 0.697
 146.837	 8.117	ITI	0	0	 0.000
 154.954	 0.637	betty	0	0	 0.000
 155.591	 1.035	answer	2	2	 1.013
 156.626	 10.187	ITI	0	0	 0.000
 166.813	 0.637	chloe	0	0	 0.000
 167.450	 1.353	answer	3	3	 1.326
 168.803	 7.003	ITI	0	0	 0.000
 175.806	 0.557	betty	0	0	 0.000
 176.363	 1.115	answer	2	2	 1.109
 177.478	 7.799	ITI	0	0	 0.000
 185.277	 0.478	chloe	0	0	 0.000
 185.755	 1.193	answer	3	1	 1.123
 186.948	 7.004	ITI	0	0	 0.000
 193.952	 0.558	anne	0	0	 0.000
 194.510	 0.716	answer	1	1	 0.700
 195.226	 8.515	ITI	0	0	 0.000
 203.741	 0.557	betty	0	0	 0.000
 204.298	 2.467	answer	2	3	 2.414
 206.765	 7.243	ITI	0	0	 0.000
 214.008	 0.876	chloe	0	0	 0.000
 214.884	 1.034	answer	3	3	 1.006
 215.918	 7.162	ITI	0	0	 0.000
 223.080	 0.717	anne	0	0	 0.000
 223.797	 0.238	answer	1	2	 0.193
 224.035	 8.039	ITI	0	0	 0.000
 232.074	 0.716	anne	0	0	 0.000
 232.790	 1.990	answer	1	1	 1.990
 234.780	 7.162	ITI	0	0	 0.000
 241.942	 0.796	chloe	0	0	 0.000
 242.738	 1.592	answer	3	3	 1.554
 244.330	 5.651	ITI	0	0	 0.000
 249.981	 0.637	chloe	0	0	 0.000
 250.618	 2.626	answer	3	3	 2.576
 253.244	 5.889	ITI	0	0	 0.000
 259.133	 0.637	betty	0	0	 0.000
 259.770	 1.353	answer	2	2	 1.310
 261.123	 8.675	ITI	0	0	 0.000
 269.798	 0.716	betty	0	0	 0.000
 270.514	 0.239	answer	2	2	 0.236
 270.753	 8.993	ITI	0	0	 0.000
 279.746	 0.795	chloe	0	0	 0.000
 280.541	 0.717	answer	3	3	 0.705
 281.258	 7.800	ITI	0	0	 0.000
 289.058	 0.398	betty	0	0	 0.000
 289.456	 0.795	answer	2	2	 0.792
 290.251	 7.640	ITI	0	0	 0.000
 297.891	 0.717	anne	0	0	 0.000
 298.608	 0.637	answer	1	1	 0.616
 299.245	 8.834	ITI	0	0	 0.000
 308.079	 0.477	anne	0	0	 0.000
 308.556	 1.035	answer	1	2	 0.970
 309.591	 7.243	ITI	0	0	 0.000
 316.834	 0.875	chloe	0	0	 0.000
 317.709	 1.114	answer	3	3	 1.061
 318.823	 8.277	ITI	0	0	 0.000
 327.100	 0.716	betty	0	0	 0.000
 327.816	 1.035	answer	2	2	 0.960
 328.851	 8.038	ITI	0	0	 0.000
 336.889	 0.717	anne	0	0	 0.000
 337.606	 2.148	answer	1	1	 2.080
 339.754	 4.855	ITI	0	0	 0.000
 344.609	 4.138	END	0	0	 0.000
