onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 2.069	ITI	0	0	 0.000
 2.069	 0.557	betty	0	0	 0.000
 2.626	 0.716	answer	2	2	 0.660
 3.342	 8.754	ITI	0	0	 0.000
 12.096	 0.478	betty	0	0	 0.000
 12.574	 1.274	answer	2	3	 1.198
 13.848	 7.799	ITI	0	0	 0.000
 21.647	 0.478	anne	0	0	 0.000
 22.125	 1.273	answer	1	1	 1.231
 23.398	 7.242	ITI	0	0	 0.000
 30.640	 0.797	anne	0	0	 0.000
 31.437	 0.716	answer	1	3	 0.699
 32.153	 7.481	ITI	0	0	 0.000
 39.634	 0.557	chloe	0	0	 0.000
 40.191	 0.557	answer	3	2	 0.555
 40.748	 8.357	ITI	0	0	 0.000
 49.105	 0.875	chloe	0	0	 0.000
 49.980	 1.592	answer	3	1	 1.566
 51.572	 9.629	ITI	0	0	 0.000
 61.201	 0.716	betty	0	0	 0.000
 61.917	 0.876	answer	2	1	 0.835
 62.793	 8.516	ITI	0	0	 0.000
 71.309	 0.478	chloe	0	0	 0.000
 71.787	 0.795	answer	3	3	 0.783
 72.582	 7.640	ITI	0	0	 0.000
 80.222	 0.716	anne	0	0	 0.000
 80.938	 0.876	answer	1	1	 0.858
 81.814	 7.482	ITI	0	0	 0.000
 89.296	 0.716	anne	0	0	 0.000
 90.012	 0.796	answer	1	1	 0.778
 90.808	 7.799	ITI	0	0	 0.000
 98.607	 0.477	betty	0	0	 0.000
 99.084	 0.557	answer	2	2	 0.512
 99.641	 8.119	ITI	0	0	 0.000
 107.760	 0.557	betty	0	0	 0.000
 108.317	 0.955	answer	2	1	 0.877
 109.272	 8.914	ITI	0	0	 0.000
 118.186	 0.636	chloe	0	0	 0.000
 118.822	 0.319	answer	3	3	 0.314
 119.141	 10.186	ITI	0	0	 0.000
 129.327	 0.796	chloe	0	0	 0.000
 130.123	 0.875	answer	3	3	 0.809
 130.998	 8.358	ITI	0	0	 0.000
 139.356	 0.557	anne	0	0	 0.000
 139.913	 1.432	answer	1	3	 1.385
 141.345	 7.401	ITI	0	0	 0.000
 148.746	 0.716	anne	0	0	 0.000
 149.462	 0.796	answer	1	1	 0.736
 150.258	 8.278	ITI	0	0	 0.000
 158.536	 0.716	betty	0	0	 0.000
 159.252	 1.432	answer	2	2	 1.396
 160.684	 6.845	ITI	0	0	 0.000
 167.529	 0.397	betty	0	0	 0.000
 167.926	 0.637	answer	2	2	 0.580
 168.563	 8.039	ITI	0	0	 0.000
 176.602	 0.636	chloe	0	0	 0.000
 177.238	 0.796	answer	3	3	 0.740
 178.034	 7.958	ITI	0	0	 0.000
 185.992	 0.478	anne	0	0	 0.000
 186.470	 0.796	answer	1	1	 0.724
 187.266	 8.914	ITI	0	0	 0.000
 196.180	 0.875	chloe	0	0	 0.000
 197.055	 0.717	answer	3	3	 0.639
 197.772	 7.480	ITI	0	0	 0.000
 205.252	 0.797	anne	0	0	 0.000
 206.049	 1.830	answer	1	3	 1.793
 207.879	 7.402	ITI	0	0	 0.000
 215.281	 0.636	betty	0	0	 0.000
 215.917	 1.114	answer	2	2	 1.065
 217.031	 7.164	ITI	0	0	 0.000
 224.195	 0.636	betty	0	0	 0.000
 224.831	 0.478	answer	2	2	 0.427
 225.309	 8.515	ITI	0	0	 0.000
 233.824	 0.796	chloe	0	0	 0.000
 234.620	 0.955	answer	3	3	 0.894
 235.575	 7.482	ITI	0	0	 0.000
 243.057	 0.716	anne	0	0	 0.000
 243.773	 0.398	answer	1	1	 0.381
 244.171	 8.117	ITI	0	0	 0.000
 252.288	 0.557	anne	0	0	 0.000
 252.845	 1.194	answer	1	3	 1.181
 254.039	 7.243	ITI	0	0	 0.000
 261.282	 0.398	betty	0	0	 0.000
 261.680	 0.716	answer	2	1	 0.656
 262.396	 9.311	ITI	0	0	 0.000
 271.707	 0.876	chloe	0	0	 0.000
 272.583	 1.830	answer	3	3	 1.815
 274.413	 5.412	ITI	0	0	 0.000
 279.825	 0.796	chloe	0	0	 0.000
 280.621	 1.433	answer	3	2	 1.385
 282.054	 7.878	ITI	0	0	 0.000
 289.932	 0.478	betty	0	0	 0.000
 290.410	 0.955	answer	2	2	 0.930
 291.365	 7.561	ITI	0	0	 0.000
 298.926	 0.716	anne	0	0	 0.000
 299.642	 0.637	answer	1	1	 0.562
 300.279	 8.754	ITI	0	0	 0.000
 309.033	 0.478	chloe	0	0	 0.000
 309.511	 1.115	answer	3	1	 1.041
 310.626	 8.037	ITI	0	0	 0.000
 318.663	 0.557	anne	0	0	 0.000
 319.220	 1.115	answer	1	1	 1.070
 320.335	 7.640	ITI	0	0	 0.000
 327.975	 0.876	chloe	0	0	 0.000
 328.851	 1.273	answer	3	3	 1.211
 330.124	 6.924	ITI	0	0	 0.000
 337.048	 0.557	betty	0	0	 0.000
 337.605	 0.875	answer	2	2	 0.855
 338.480	 6.128	ITI	0	0	 0.000
 344.608	 4.138	END	0	0	 0.000
