onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 2.069	ITI	0	0	 0.000
 2.069	 0.557	betty	0	0	 0.000
 2.626	 0.796	answer	2	2	 0.782
 3.422	 8.197	ITI	0	0	 0.000
 11.619	 0.398	betty	0	0	 0.000
 12.017	 2.945	answer	2	2	 2.925
 14.962	 5.253	ITI	0	0	 0.000
 20.215	 0.557	anne	0	0	 0.000
 20.772	 2.148	answer	1	3	 2.082
 22.920	 6.287	ITI	0	0	 0.000
 29.207	 0.876	chloe	0	0	 0.000
 30.083	 1.353	answer	3	3	 1.297
 31.436	 7.322	ITI	0	0	 0.000
 38.758	 0.796	anne	0	0	 0.000
 39.554	 0.796	answer	1	1	 0.732
 40.350	 7.640	ITI	0	0	 0.000
 47.990	 0.875	chloe	0	0	 0.000
 48.865	 0.479	answer	3	3	 0.423
 49.344	 8.117	ITI	0	0	 0.000
 57.461	 0.557	chloe	0	0	 0.000
 58.018	 1.035	answer	3	2	 0.982
 59.053	 7.481	ITI	0	0	 0.000
 66.534	 0.478	betty	0	0	 0.000
 67.012	 0.955	answer	2	2	 0.886
 67.967	 8.435	ITI	0	0	 0.000
 76.402	 0.796	anne	0	0	 0.000
 77.198	 0.955	answer	1	1	 0.922
 78.153	 7.800	ITI	0	0	 0.000
 85.953	 0.478	chloe	0	0	 0.000
 86.431	 1.671	answer	3	1	 1.663
 88.102	 7.401	ITI	0	0	 0.000
 95.503	 0.716	anne	0	0	 0.000
 96.219	 1.672	answer	1	1	 1.663
 97.891	 8.197	ITI	0	0	 0.000
 106.088	 0.478	betty	0	0	 0.000
 106.566	 0.637	answer	2	2	 0.636
 107.203	 8.674	ITI	0	0	 0.000
 115.877	 0.477	anne	0	0	 0.000
 116.354	 0.637	answer	1	1	 0.626
 116.991	 8.039	ITI	0	0	 0.000
 125.030	 0.477	betty	0	0	 0.000
 125.507	 1.433	answer	2	2	 1.409
 126.940	 9.072	ITI	0	0	 0.000
 136.012	 0.797	chloe	0	0	 0.000
 136.809	 0.398	answer	3	3	 0.347
 137.207	 8.356	ITI	0	0	 0.000
 145.563	 0.557	anne	0	0	 0.000
 146.120	 1.592	answer	1	1	 1.574
 147.712	 7.243	ITI	0	0	 0.000
 154.955	 0.636	betty	0	0	 0.000
 155.591	 1.672	answer	2	2	 1.659
 157.263	 9.549	ITI	0	0	 0.000
 166.812	 0.637	chloe	0	0	 0.000
 167.449	 0.080	answer	3	3	 0.045
 167.529	 3.740	ITI	0	0	 0.000
 171.269	 0.558	betty	0	0	 0.000
 171.827	 1.194	answer	2	2	 1.165
 173.021	 7.719	ITI	0	0	 0.000
 180.740	 0.478	chloe	0	0	 0.000
 181.218	 1.034	answer	3	1	 0.990
 182.252	 7.164	ITI	0	0	 0.000
 189.416	 0.557	anne	0	0	 0.000
 189.973	 0.955	answer	1	1	 0.911
 190.928	 8.276	ITI	0	0	 0.000
 199.204	 0.557	betty	0	0	 0.000
 199.761	 2.388	answer	2	2	 2.313
 202.149	 7.322	ITI	0	0	 0.000
 209.471	 0.876	chloe	0	0	 0.000
 210.347	 1.034	answer	3	3	 0.977
 211.381	 7.163	ITI	0	0	 0.000
 218.544	 0.716	anne	0	0	 0.000
 219.260	 1.273	answer	1	1	 1.212
 220.533	 7.004	ITI	0	0	 0.000
 227.537	 0.717	anne	0	0	 0.000
 228.254	 2.228	answer	1	1	 2.162
 230.482	 6.923	ITI	0	0	 0.000
 237.405	 0.796	chloe	0	0	 0.000
 238.201	 0.239	answer	3	3	 0.171
 238.440	 7.004	ITI	0	0	 0.000
 245.444	 0.637	chloe	0	0	 0.000
 246.081	 0.637	answer	3	3	 0.561
 246.718	 7.878	ITI	0	0	 0.000
 254.596	 0.637	betty	0	0	 0.000
 255.233	 1.193	answer	2	2	 1.131
 256.426	 8.835	ITI	0	0	 0.000
 265.261	 0.716	betty	0	0	 0.000
 265.977	 0.717	answer	2	2	 0.645
 266.694	 8.515	ITI	0	0	 0.000
 275.209	 0.796	chloe	0	0	 0.000
 276.005	 1.274	answer	3	1	 1.237
 277.279	 7.242	ITI	0	0	 0.000
 284.521	 0.398	betty	0	0	 0.000
 284.919	 1.751	answer	2	2	 1.705
 286.670	 6.684	ITI	0	0	 0.000
 293.354	 0.718	anne	0	0	 0.000
 294.072	 0.636	answer	1	1	 0.616
 294.708	 8.834	ITI	0	0	 0.000
 303.542	 0.477	anne	0	0	 0.000
 304.019	 0.717	answer	1	1	 0.701
 304.736	 7.561	ITI	0	0	 0.000
 312.297	 0.875	chloe	0	0	 0.000
 313.172	 1.512	answer	3	3	 1.512
 314.684	 7.879	ITI	0	0	 0.000
 322.563	 0.716	betty	0	0	 0.000
 323.279	 0.796	answer	2	2	 0.757
 324.075	 8.278	ITI	0	0	 0.000
 332.353	 0.716	anne	0	0	 0.000
 333.069	 1.353	answer	1	1	 1.301
 334.422	 5.650	ITI	0	0	 0.000
 340.072	 4.138	END	0	0	 0.000
